grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.115385,58,0.002627,0.002161,0.087529,0.151669,0.056499,0.173077,0.041583,0.192496,0.038811,0.206373
AA 20-40 M,0.115385,33,0.004617,0.004642,0.040000,0.149573,0.036905,0.192308,0.000000,0.215110,0.000000,0.250111
AA 40-60 F,0.172043,201,0.000758,0.000690,0.153237,0.186925,0.141192,0.204313,0.127034,0.209283,0.122965,0.223253
AA 40-60 M,0.129496,153,0.000996,0.000904,0.104791,0.146202,0.090451,0.164404,0.081393,0.179500,0.072192,0.190034
AA 60-80 F,0.257143,244,0.000624,0.000880,0.242504,0.275447,0.222133,0.290481,0.205548,0.305058,0.190920,0.323465
AA 60-80 M,0.296296,157,0.000970,0.001052,0.267754,0.316635,0.251619,0.331435,0.246377,0.346649,0.234143,0.360018
AA 80-100 F,0.285714,80,0.001904,0.002539,0.250000,0.310097,0.222059,0.344683,0.202568,0.384670,0.192986,0.385714
AA 80-100 M,0.214286,31,0.004914,0.006266,0.170977,0.270889,0.124500,0.310345,0.107143,0.357143,0.086638,0.368611
C 20-40 F,0.177215,94,0.001621,0.001455,0.153359,0.207436,0.136868,0.231303,0.126426,0.243590,0.122586,0.248458
C 20-40 M,0.216667,67,0.002274,0.002638,0.188538,0.255693,0.169492,0.288136,0.154914,0.303910,0.119717,0.317306
C 40-60 F,0.125964,433,0.000352,0.000278,0.109020,0.135833,0.097985,0.142180,0.095738,0.146240,0.092846,0.154576
C 40-60 M,0.111888,482,0.000316,0.000252,0.102397,0.121968,0.090317,0.134189,0.084686,0.138193,0.081714,0.142615
C 60-80 F,0.229586,946,0.000161,0.000177,0.220198,0.236286,0.213212,0.244319,0.208958,0.248110,0.207015,0.257600
C 60-80 M,0.187865,957,0.000159,0.000140,0.179884,0.196464,0.175269,0.202645,0.166973,0.204754,0.161712,0.209580
C 80-100 F,0.175824,525,0.000290,0.000334,0.165866,0.188670,0.147825,0.199167,0.141874,0.201375,0.137690,0.204455
C 80-100 M,0.228188,330,0.000462,0.000542,0.211766,0.242347,0.195925,0.250935,0.187608,0.259998,0.183566,0.274296
H 20-40 F,0.142857,7,0.021764,0.018605,0.000000,0.142857,0.000000,0.285714,0.000000,0.428571,0.000000,0.428571
H 20-40 M,0.000000,5,0.030470,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.187500,18,0.008464,0.010221,0.117647,0.250000,0.062132,0.333333,0.058824,0.352941,0.057108,0.352941
H 40-60 M,0.055556,19,0.008018,0.003563,0.000000,0.105263,0.000000,0.111111,0.000000,0.158333,0.000000,0.200490
H 60-80 F,0.238095,23,0.006624,0.011428,0.172101,0.315789,0.099091,0.363636,0.085550,0.400455,0.050000,0.441377
H 60-80 M,0.117647,20,0.007617,0.004764,0.062500,0.169118,0.055556,0.211696,0.047500,0.250000,0.000000,0.272500
H 80-100 F,0.000000,5,0.030470,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.000000,3,0.050783,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 F,0.500000,4,0.038087,0.082525,0.437500,0.750000,0.250000,0.750000,0.237500,1.000000,0.000000,1.000000
O 20-40 M,0.000000,2,0.076175,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.090909,14,0.010882,0.007629,0.000000,0.166667,0.000000,0.223077,0.000000,0.250000,0.000000,0.261932
O 40-60 M,0.176471,19,0.008018,0.009110,0.117647,0.225490,0.062132,0.294118,0.055409,0.335088,0.025000,0.375000
O 60-80 F,0.130435,27,0.005643,0.005855,0.083333,0.160000,0.041667,0.227622,0.039923,0.272727,0.000000,0.279545
O 60-80 M,0.040000,28,0.005441,0.001457,0.000000,0.049603,0.000000,0.083696,0.000000,0.115385,0.000000,0.132000
O 80-100 F,0.111111,9,0.016928,0.011351,0.000000,0.111111,0.000000,0.222222,0.000000,0.333333,0.000000,0.333333
O 80-100 M,0.000000,5,0.030470,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
