grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.634921,58,0.012613,0.013506,0.557105,0.713339,0.480409,0.778038,0.467777,0.828835,0.461125,0.865875
AA 20-40 M,0.571429,34,0.021517,0.026005,0.461607,0.679067,0.344273,0.750000,0.283305,0.776090,0.254243,0.803283
AA 40-60 F,0.654065,202,0.003622,0.003445,0.609766,0.677109,0.569082,0.721242,0.553784,0.738664,0.524008,0.749051
AA 40-60 M,0.736057,153,0.004781,0.005157,0.697694,0.797398,0.659918,0.834486,0.640306,0.864432,0.601116,0.882324
AA 60-80 F,0.664796,244,0.002998,0.003040,0.643697,0.702605,0.612595,0.743607,0.560893,0.756537,0.550919,0.765866
AA 60-80 M,0.743254,158,0.004630,0.002504,0.713793,0.778579,0.687435,0.803762,0.665970,0.815504,0.652544,0.831110
AA 80-100 F,0.694359,80,0.009145,0.005718,0.639874,0.752120,0.601711,0.796981,0.565888,0.811982,0.557499,0.840390
AA 80-100 M,0.547619,31,0.023599,0.064545,0.394704,0.703846,0.082857,0.813027,0.000000,0.836782,0.000000,0.865057
C 20-40 F,0.841346,94,0.007783,0.003307,0.802021,0.873313,0.776790,0.894756,0.768489,0.920522,0.747344,0.926698
C 20-40 M,0.741883,67,0.010919,0.007312,0.712748,0.803188,0.657746,0.847013,0.623726,0.877995,0.573333,0.926346
C 40-60 F,0.676706,432,0.001693,0.001694,0.655332,0.713777,0.630128,0.737753,0.612933,0.746097,0.603810,0.761327
C 40-60 M,0.639028,482,0.001518,0.001735,0.616924,0.674591,0.583649,0.698453,0.576790,0.711010,0.561543,0.713737
C 60-80 F,0.602146,945,0.000774,0.001079,0.578818,0.624409,0.559625,0.640046,0.541583,0.646620,0.533876,0.660851
C 60-80 M,0.689533,957,0.000764,0.000656,0.678451,0.713407,0.669451,0.731454,0.661221,0.744473,0.658432,0.753529
C 80-100 F,0.636331,525,0.001393,0.001179,0.611954,0.657926,0.589727,0.680162,0.583792,0.691207,0.572981,0.703220
C 80-100 M,0.610119,330,0.002217,0.001899,0.571817,0.630796,0.547765,0.661023,0.539354,0.672613,0.534065,0.682620
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.714286,19,0.038503,0.033697,0.585119,0.820742,0.472857,0.921266,0.384377,0.950833,0.321923,0.986429
H 40-60 M,0.888889,19,0.038503,0.006314,0.833333,0.944444,0.777778,1.000000,0.749167,1.000000,0.727500,1.000000
H 60-80 F,0.409091,23,0.031807,0.009061,0.353409,0.454545,0.288961,0.500000,0.272727,0.588636,0.209794,0.595227
H 60-80 M,0.426471,21,0.034836,0.014761,0.367615,0.500000,0.282019,0.576184,0.250000,0.647222,0.223214,0.664375
H 80-100 F,0.800000,6,0.121927,0.037586,0.616667,0.800000,0.500000,1.000000,0.425000,1.000000,0.400000,1.000000
H 80-100 M,1.000000,3,0.243854,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 F,1.000000,3,0.243854,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.000000,0,,,,,,,,,,
O 40-60 M,0.833333,20,0.036578,0.006609,0.789474,0.894737,0.777778,0.944444,0.707018,0.947368,0.647059,1.000000
O 60-80 F,0.000000,0,,,,,,,,,,
O 60-80 M,0.591304,28,0.026127,0.025972,0.470894,0.683614,0.348019,0.792134,0.310417,0.818655,0.276474,0.839426
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,0.750000,5,0.146312,0.072483,0.500000,1.000000,0.500000,1.000000,0.325000,1.000000,0.250000,1.000000
