grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.757370,0.012743,58,0.623554,0.623554,0.728660,0.008551,0.008551,0.721449,0.672824,0.778552,0.598047,0.846941,0.571928,0.888676,0.560815,0.912426
AA 20-40 M,0.308642,0.022397,33,0.623554,0.623554,0.423408,0.010906,0.010906,0.428798,0.369458,0.489038,0.290958,0.556282,0.240926,0.584823,0.195008,0.618756
AA 40-60 F,0.758578,0.003659,202,0.623554,0.623554,0.755810,0.003079,0.003079,0.758891,0.720048,0.798779,0.692235,0.829621,0.683824,0.851173,0.641204,0.864011
AA 40-60 M,0.620576,0.004831,153,0.623554,0.623554,0.627706,0.004507,0.004507,0.645274,0.590991,0.681293,0.551853,0.713193,0.527165,0.744545,0.505322,0.764860
AA 60-80 F,0.584204,0.003029,244,0.623554,0.623554,0.585492,0.002781,0.002781,0.585262,0.553005,0.618045,0.524410,0.663071,0.506271,0.685122,0.499382,0.694396
AA 60-80 M,0.646617,0.004708,157,0.623554,0.623554,0.639419,0.004804,0.004804,0.644939,0.602564,0.694056,0.564573,0.737989,0.523070,0.749500,0.497264,0.773394
AA 80-100 F,0.685764,0.009239,80,0.623554,0.623554,0.653135,0.007827,0.007827,0.661945,0.608875,0.724350,0.554382,0.778741,0.525378,0.790001,0.511397,0.844558
AA 80-100 M,0.333333,0.024637,30,0.623554,0.623554,0.403727,0.014809,0.014809,0.385975,0.318616,0.520451,0.240859,0.564902,0.212228,0.592181,0.196501,0.612526
C 20-40 F,0.746988,0.007863,94,0.623554,0.623554,0.738270,0.004781,0.004781,0.742100,0.693761,0.789125,0.651342,0.830702,0.624337,0.850440,0.612678,0.876996
C 20-40 M,0.750000,0.011199,66,0.623554,0.623554,0.737120,0.008711,0.008711,0.749995,0.673385,0.801896,0.620794,0.841637,0.592153,0.878539,0.574555,0.891748
C 40-60 F,0.738839,0.001707,433,0.623554,0.623554,0.738440,0.001547,0.001547,0.737984,0.714448,0.759489,0.682335,0.777939,0.660379,0.790173,0.636940,0.798736
C 40-60 M,0.619921,0.001533,482,0.623554,0.623554,0.622359,0.001587,0.001587,0.623353,0.594642,0.647200,0.568474,0.671264,0.550936,0.684487,0.547292,0.690591
C 60-80 F,0.568163,0.000781,946,0.623554,0.623554,0.569607,0.000730,0.000730,0.573159,0.553393,0.592758,0.538433,0.604791,0.525075,0.615210,0.517337,0.616308
C 60-80 M,0.669020,0.000772,957,0.623554,0.623554,0.667200,0.000647,0.000647,0.670311,0.651465,0.688029,0.638328,0.698448,0.627854,0.710460,0.621542,0.717737
C 80-100 F,0.515382,0.001408,525,0.623554,0.623554,0.517838,0.001281,0.001281,0.525915,0.498060,0.550859,0.468490,0.559979,0.455081,0.573213,0.452047,0.580371
C 80-100 M,0.506476,0.002240,330,0.623554,0.623554,0.508436,0.001838,0.001838,0.515430,0.485695,0.541368,0.456919,0.563672,0.444504,0.578321,0.433545,0.595979
H 20-40 F,,,0,0.623554,0.623554,0.741561,,,,,,,,,,,
H 20-40 M,,,0,0.623554,0.623554,0.692817,,,,,,,,,,,
H 40-60 F,0.593750,0.041061,18,0.623554,0.623554,0.679641,0.016248,0.016248,0.674157,0.590843,0.762966,0.505796,0.827403,0.477378,0.896449,0.420064,0.919710
H 40-60 M,0.916667,0.038900,19,0.623554,0.623554,0.844747,0.014368,0.014368,0.862928,0.768392,0.920242,0.672147,1.003033,0.644341,1.021920,0.565685,1.039583
H 60-80 F,0.547619,0.032135,23,0.623554,0.623554,0.617938,0.014761,0.014761,0.642611,0.543284,0.735936,0.497162,0.773682,0.425615,0.791170,0.382937,0.854322
H 60-80 M,0.900000,0.035195,21,0.623554,0.623554,0.773798,0.013931,0.013931,0.787149,0.720789,0.877437,0.658768,0.962419,0.621309,0.989313,0.593847,1.012121
H 80-100 F,,,0,0.623554,0.623554,0.681977,,,,,,,,,,,
H 80-100 M,0.500000,0.246368,3,0.623554,0.623554,0.596225,0.029342,0.029342,0.604326,0.452040,0.718092,0.359933,0.805418,0.343962,0.854996,0.277442,0.887470
O 20-40 F,1.000000,0.246368,3,0.623554,0.623554,0.771431,0.020338,0.020338,0.759840,0.688738,0.852059,0.587671,0.958035,0.559596,0.997516,0.513205,1.061588
O 20-40 M,,,0,0.623554,0.623554,0.755344,,,,,,,,,,,
O 40-60 F,1.000000,0.052793,14,0.623554,0.623554,0.903139,0.016439,0.016439,0.893400,0.815668,0.986870,0.717374,1.042488,0.638129,1.075324,0.612652,1.090812
O 40-60 M,1.000000,0.038900,19,0.623554,0.623554,0.912128,0.016805,0.016805,0.911844,0.811521,0.993029,0.756137,1.081424,0.708938,1.162905,0.690285,1.205559
O 60-80 F,0.569444,0.027374,27,0.623554,0.623554,0.635257,0.014238,0.014238,0.624119,0.556160,0.688130,0.485158,0.774331,0.442226,0.827462,0.410371,0.901483
O 60-80 M,0.615385,0.026397,28,0.623554,0.623554,0.641839,0.013241,0.013241,0.658196,0.565227,0.721515,0.503388,0.802313,0.458433,0.831090,0.439818,0.866825
O 80-100 F,0.750000,0.082123,9,0.623554,0.623554,0.697234,0.021720,0.021720,0.710118,0.629755,0.809268,0.507596,0.891117,0.428425,0.917633,0.360700,0.929832
O 80-100 M,,,0,0.623554,0.623554,0.703514,,,,,,,,,,,
