grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.757370,58,0.012743,0.006868,0.708083,0.810907,0.658916,0.853233,0.612252,0.891346,0.572717,0.907238
AA 20-40 M,0.308642,33,0.022397,0.014361,0.232261,0.389493,0.179742,0.468519,0.127836,0.518046,0.073356,0.536409
AA 40-60 F,0.758578,202,0.003659,0.001964,0.723343,0.790937,0.704697,0.806248,0.693935,0.830023,0.682342,0.835319
AA 40-60 M,0.620576,153,0.004831,0.005908,0.567336,0.671726,0.515852,0.713248,0.501442,0.767757,0.485899,0.771774
AA 60-80 F,0.584204,244,0.003029,0.003720,0.533129,0.622519,0.511424,0.657264,0.487397,0.674143,0.472549,0.690174
AA 60-80 M,0.646617,157,0.004708,0.003478,0.605364,0.676209,0.568605,0.724579,0.554461,0.746290,0.547279,0.764668
AA 80-100 F,0.685764,80,0.009239,0.005068,0.644226,0.730453,0.598931,0.771543,0.546471,0.783039,0.532182,0.805770
AA 80-100 M,0.333333,30,0.024637,0.016704,0.267895,0.435681,0.204410,0.543605,0.178571,0.569940,0.160141,0.616802
C 20-40 F,0.746988,94,0.007863,0.005915,0.706284,0.798485,0.640667,0.846043,0.619150,0.865490,0.603259,0.887581
C 20-40 M,0.750000,66,0.011199,0.009294,0.671509,0.773924,0.612144,0.855673,0.573170,0.894332,0.534716,0.901176
C 40-60 F,0.738839,433,0.001707,0.001344,0.715014,0.764364,0.690914,0.788475,0.682405,0.801047,0.675194,0.811977
C 40-60 M,0.619921,482,0.001533,0.002379,0.588461,0.651927,0.555978,0.678649,0.541195,0.699273,0.529239,0.711576
C 60-80 F,0.568163,946,0.000781,0.000907,0.552849,0.592910,0.533140,0.606091,0.527387,0.618187,0.508595,0.622573
C 60-80 M,0.669020,957,0.000772,0.000759,0.647436,0.684596,0.627218,0.702492,0.622102,0.708567,0.614715,0.711773
C 80-100 F,0.515382,525,0.001408,0.001157,0.493801,0.541075,0.471429,0.562651,0.462941,0.572332,0.457766,0.584398
C 80-100 M,0.506476,330,0.002240,0.002483,0.470360,0.539406,0.441742,0.565961,0.429792,0.593305,0.424164,0.619346
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.593750,18,0.041061,0.051953,0.488889,0.812500,0.305882,0.919328,0.235294,0.940809,0.176471,0.997059
H 40-60 M,0.916667,19,0.038900,0.005416,0.875000,0.970588,0.823529,1.000000,0.777778,1.000000,0.768954,1.000000
H 60-80 F,0.547619,23,0.032135,0.028773,0.471362,0.681818,0.363636,0.772727,0.272727,0.860227,0.232955,0.899621
H 60-80 M,0.900000,21,0.035195,0.006014,0.842105,0.950000,0.800000,1.000000,0.750000,1.000000,0.732822,1.000000
H 80-100 F,0.000000,0,,,,,,,,,,
H 80-100 M,0.500000,3,0.246368,0.235861,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 F,1.000000,3,0.246368,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,1.000000,14,0.052793,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 M,1.000000,19,0.038900,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 60-80 F,0.569444,27,0.027374,0.021554,0.486111,0.645455,0.375826,0.765613,0.346154,0.841231,0.328000,0.869231
O 60-80 M,0.615385,28,0.026397,0.010049,0.560000,0.692308,0.498000,0.730769,0.414459,0.751333,0.401667,0.769231
O 80-100 F,0.750000,9,0.082123,0.027674,0.625000,0.857143,0.500000,0.875000,0.428571,1.000000,0.401786,1.000000
O 80-100 M,0.000000,0,,,,,,,,,,
