grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.571429,58,0.032697,0.047944,0.500000,0.750000,0.333333,0.876389,0.250000,1.000000,0.210556,1.000000
AA 20-40 M,0.750000,33,0.057467,0.082095,0.600000,1.000000,0.385000,1.000000,0.000000,1.000000,0.000000,1.000000
AA 40-60 F,0.666667,201,0.009435,0.013680,0.579715,0.740741,0.516667,0.826087,0.444444,0.852116,0.415734,0.857143
AA 40-60 M,0.458333,153,0.012395,0.012242,0.392857,0.542614,0.333333,0.607298,0.258796,0.631579,0.250000,0.664353
AA 60-80 F,0.652174,244,0.007772,0.007743,0.571429,0.706495,0.526065,0.750000,0.500000,0.773221,0.476136,0.800000
AA 60-80 M,0.600000,157,0.012079,0.011302,0.555556,0.666667,0.465833,0.715584,0.436080,0.800476,0.397685,0.833282
AA 80-100 F,0.714286,79,0.024005,0.028225,0.659091,0.833333,0.500000,1.000000,0.443651,1.000000,0.400000,1.000000
AA 80-100 M,1.000000,31,0.061175,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
C 20-40 F,0.727273,94,0.020175,0.021451,0.666667,0.818182,0.554545,0.900909,0.497222,1.000000,0.400000,1.000000
C 20-40 M,0.750000,66,0.028734,0.027845,0.611538,0.857143,0.500000,1.000000,0.443651,1.000000,0.365000,1.000000
C 40-60 F,0.666667,433,0.004380,0.006583,0.615385,0.712681,0.557703,0.778261,0.515070,0.800625,0.505523,0.825000
C 40-60 M,0.769231,482,0.003934,0.003273,0.738558,0.800893,0.701558,0.830482,0.679333,0.866018,0.653750,0.891920
C 60-80 F,0.641509,946,0.002005,0.001612,0.619515,0.672202,0.596134,0.693510,0.580129,0.706368,0.565187,0.716158
C 60-80 M,0.585586,957,0.001982,0.002227,0.560961,0.626383,0.533153,0.643575,0.523496,0.672706,0.499707,0.684434
C 80-100 F,0.701493,525,0.003612,0.002909,0.671588,0.754098,0.649815,0.774769,0.626078,0.787164,0.597071,0.795426
C 80-100 M,0.823529,330,0.005747,0.005176,0.780488,0.862500,0.735572,0.911765,0.713757,0.926058,0.682208,0.940312
H 20-40 F,0.000000,7,0.270918,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.333333,19,0.099812,0.114091,0.000000,0.585714,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 40-60 M,0.000000,18,0.105357,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 60-80 F,0.500000,22,0.086201,0.137880,0.333333,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 60-80 M,0.750000,21,0.090306,0.062718,0.666667,1.000000,0.500000,1.000000,0.333333,1.000000,0.000000,1.000000
H 80-100 F,0.000000,0,,,,,,,,,,
H 80-100 M,0.500000,4,0.474106,0.160689,0.250000,0.666667,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 F,0.000000,0,,,,,,,,,,
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.000000,0,,,,,,,,,,
O 40-60 M,0.000000,19,0.099812,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 60-80 F,1.000000,27,0.070238,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 60-80 M,0.500000,28,0.067729,0.148003,0.250000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 80-100 F,1.000000,9,0.210714,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 80-100 M,0.000000,5,0.379285,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
