grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.096154,58,0.002649,0.001677,0.065625,0.121818,0.039216,0.153846,0.037736,0.166667,0.036684,0.179278
AA 20-40 M,0.200000,34,0.004518,0.006357,0.137931,0.258363,0.103448,0.312500,0.068851,0.322581,0.063458,0.339516
AA 40-60 F,0.112360,201,0.000764,0.000526,0.096728,0.130682,0.087842,0.144525,0.079009,0.153026,0.074240,0.155454
AA 40-60 M,0.128571,153,0.001004,0.000911,0.108500,0.145871,0.092594,0.169256,0.083794,0.175885,0.078840,0.200374
AA 60-80 F,0.192825,244,0.000630,0.000777,0.170616,0.209877,0.152772,0.221922,0.145629,0.232930,0.134745,0.240358
AA 60-80 M,0.311594,157,0.000978,0.001323,0.286502,0.330827,0.271293,0.356643,0.253442,0.370669,0.242708,0.386542
AA 80-100 F,0.200000,80,0.001920,0.001865,0.171763,0.225352,0.142656,0.257456,0.121511,0.267606,0.112619,0.275379
AA 80-100 M,0.076923,30,0.005121,0.002627,0.038462,0.107143,0.000000,0.143386,0.000000,0.174477,0.000000,0.192963
C 20-40 F,0.051282,94,0.001634,0.000647,0.036475,0.070464,0.023340,0.080108,0.012979,0.087855,0.012571,0.100000
C 20-40 M,0.136364,67,0.002293,0.001928,0.106061,0.162013,0.078005,0.194324,0.074070,0.209619,0.045431,0.223093
C 40-60 F,0.098191,432,0.000356,0.000230,0.085382,0.106854,0.074974,0.112944,0.070106,0.117210,0.069190,0.121168
C 40-60 M,0.119816,482,0.000319,0.000252,0.111249,0.132490,0.102065,0.139831,0.096975,0.146399,0.085688,0.150509
C 60-80 F,0.211353,945,0.000163,0.000193,0.200971,0.221177,0.195155,0.229943,0.188122,0.232096,0.185943,0.236660
C 60-80 M,0.206612,957,0.000161,0.000182,0.196911,0.216750,0.189302,0.222496,0.186795,0.226810,0.180626,0.234401
C 80-100 F,0.160088,525,0.000293,0.000336,0.144346,0.169347,0.130140,0.176496,0.124676,0.183446,0.122132,0.190985
C 80-100 M,0.190476,331,0.000464,0.000421,0.178359,0.209637,0.166037,0.220768,0.162243,0.227915,0.157023,0.230010
H 20-40 F,0.166667,6,0.025604,0.030232,0.000000,0.333333,0.000000,0.333333,0.000000,0.500000,0.000000,0.500000
H 20-40 M,0.000000,5,0.030725,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.117647,19,0.008085,0.004685,0.058824,0.166667,0.047368,0.200000,0.000000,0.235294,0.000000,0.235294
H 40-60 M,0.000000,18,0.008535,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 60-80 F,0.100000,23,0.006679,0.004959,0.050000,0.142857,0.000000,0.200000,0.000000,0.227814,0.000000,0.244345
H 60-80 M,0.300000,21,0.007315,0.010324,0.234127,0.350000,0.190476,0.421053,0.150000,0.473810,0.142857,0.512500
H 80-100 F,0.000000,6,0.025604,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.000000,3,0.051208,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 F,0.500000,3,0.051208,0.204059,0.000000,0.666667,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 M,0.000000,3,0.051208,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.153846,14,0.010973,0.010900,0.076923,0.230769,0.000000,0.285714,0.000000,0.333333,0.000000,0.349242
O 40-60 M,0.111111,19,0.008085,0.007553,0.055556,0.166667,0.000000,0.223529,0.000000,0.277778,0.000000,0.286356
O 60-80 F,0.120000,27,0.005690,0.004004,0.076923,0.160000,0.040000,0.200833,0.038390,0.217633,0.017593,0.231556
O 60-80 M,0.222222,28,0.005487,0.006203,0.153846,0.285714,0.119538,0.320143,0.110913,0.333333,0.091277,0.358643
O 80-100 F,0.000000,9,0.017069,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.000000,4,0.038406,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
