grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.666667,0.035957,58,0.637093,0.637093,0.651458,0.024918,0.024918,0.636135,0.543981,0.737954,0.433729,0.827000,0.382118,0.930549,0.376514,0.958778
AA 20-40 M,0.750000,0.061339,34,0.637093,0.637093,0.681154,0.032452,0.032452,0.687768,0.592899,0.801035,0.450025,0.902018,0.361509,0.961583,0.280515,1.000054
AA 40-60 F,0.652174,0.010376,201,0.637093,0.637093,0.652619,0.008726,0.008726,0.657621,0.592415,0.723009,0.548342,0.776159,0.536706,0.813869,0.458830,0.838051
AA 40-60 M,0.538462,0.013631,153,0.637093,0.637093,0.543360,0.012868,0.012868,0.573631,0.482197,0.634801,0.417641,0.687606,0.374100,0.737032,0.338611,0.776732
AA 60-80 F,0.666667,0.008547,244,0.637093,0.637093,0.675988,0.007840,0.007840,0.676390,0.622014,0.729554,0.574130,0.806286,0.541122,0.844152,0.530959,0.859771
AA 60-80 M,0.736842,0.013284,157,0.637093,0.637093,0.734570,0.013680,0.013680,0.746898,0.674143,0.826594,0.604096,0.899555,0.540040,0.921109,0.495886,0.958813
AA 80-100 F,0.700000,0.026069,80,0.637093,0.637093,0.712857,0.022012,0.022012,0.731398,0.632285,0.830716,0.548895,0.920790,0.487923,0.948294,0.469860,1.026381
AA 80-100 M,0.750000,0.069518,30,0.637093,0.637093,0.711337,0.043516,0.043516,0.683733,0.572372,0.893685,0.444427,0.995650,0.373814,1.024138,0.339546,1.067078
C 20-40 F,0.687500,0.022186,94,0.637093,0.637093,0.659798,0.013775,0.013775,0.664214,0.580967,0.744099,0.515015,0.815244,0.470004,0.849473,0.446005,0.896885
C 20-40 M,0.000000,0.031127,67,0.637093,0.637093,0.104654,0.022472,0.022472,0.128733,0.014722,0.210647,-0.087900,0.277543,-0.134661,0.326211,-0.153522,0.363325
C 40-60 F,0.600000,0.004828,432,0.637093,0.637093,0.598882,0.004380,0.004380,0.598463,0.558976,0.634747,0.504647,0.665818,0.466955,0.687358,0.428892,0.699911
C 40-60 M,0.729167,0.004327,482,0.637093,0.637093,0.719349,0.004486,0.004486,0.721139,0.674200,0.761168,0.628409,0.801543,0.597721,0.822627,0.593878,0.833229
C 60-80 F,0.700855,0.002207,945,0.637093,0.637093,0.701008,0.002061,0.002061,0.707056,0.673818,0.739682,0.648766,0.759890,0.626885,0.778042,0.612578,0.778993
C 60-80 M,0.563636,0.002179,957,0.637093,0.637093,0.564787,0.001822,0.001822,0.569166,0.538048,0.599850,0.516126,0.616825,0.499011,0.637750,0.488507,0.650035
C 80-100 F,0.623188,0.003972,525,0.637093,0.637093,0.625763,0.003638,0.003638,0.637723,0.589761,0.678815,0.545549,0.696052,0.523213,0.717681,0.512347,0.730855
C 80-100 M,0.621622,0.006301,331,0.637093,0.637093,0.620204,0.005264,0.005264,0.628889,0.583363,0.675095,0.531116,0.711896,0.512445,0.739180,0.495012,0.770378
H 20-40 F,,,0,0.637093,0.637093,0.577266,,,,,,,,,,,
H 20-40 M,,,0,0.637093,0.637093,0.428509,,,,,,,,,,,
H 40-60 F,0.500000,0.109765,19,0.637093,0.637093,0.525682,0.051708,0.051708,0.506519,0.347547,0.667763,0.217727,0.801346,0.139092,0.894212,0.090786,0.946525
H 40-60 M,0.250000,0.115863,18,0.637093,0.637093,0.351532,0.044245,0.044245,0.364412,0.203134,0.476924,0.085272,0.636075,-0.021909,0.681964,-0.116587,0.704214
H 60-80 F,0.333333,0.090675,23,0.637093,0.637093,0.503417,0.036961,0.036961,0.553988,0.394923,0.689895,0.295934,0.751688,0.189317,0.787518,0.132049,0.877710
H 60-80 M,1.000000,0.099311,21,0.637093,0.637093,0.813835,0.037545,0.037545,0.852270,0.734200,0.981508,0.617795,1.118709,0.569498,1.186117,0.509752,1.209044
H 80-100 F,1.000000,0.347588,6,0.637093,0.637093,0.810879,0.071421,0.071421,0.809378,0.642508,0.980211,0.456530,1.110076,0.268353,1.187945,0.208034,1.238537
H 80-100 M,,,0,0.637093,0.637093,0.536965,,,,,,,,,,,
O 20-40 F,1.000000,0.695176,3,0.637093,0.637093,0.791986,0.219727,0.219727,0.787626,0.455156,1.055832,0.217283,1.422480,0.030581,1.514167,-0.110001,1.731905
O 20-40 M,,,0,0.637093,0.637093,0.704819,,,,,,,,,,,
O 40-60 F,1.000000,0.148966,14,0.637093,0.637093,0.792992,0.048898,0.048898,0.786469,0.662161,0.942614,0.466258,1.032651,0.333513,1.062490,0.273981,1.107505
O 40-60 M,0.000000,0.109765,19,0.637093,0.637093,0.314777,0.047832,0.047832,0.320864,0.161048,0.441607,0.063343,0.588212,-0.053844,0.732507,-0.072693,0.818093
O 60-80 F,1.000000,0.077242,27,0.637093,0.637093,0.943181,0.043064,0.043064,0.918423,0.811662,1.037495,0.684268,1.182350,0.597322,1.282159,0.564363,1.411494
O 60-80 M,1.000000,0.074483,28,0.637093,0.637093,0.898911,0.037681,0.037681,0.930153,0.773449,1.041009,0.666831,1.162429,0.617768,1.207466,0.563964,1.285975
O 80-100 F,,,0,0.637093,0.637093,0.822939,,,,,,,,,,,
O 80-100 M,,,0,0.637093,0.637093,0.703542,,,,,,,,,,,
