grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.137931,0.002664,58,0.166830,0.156334,0.144602,0.002508,0.002508,0.141250,0.116080,0.173074,0.074853,0.210340,0.060656,0.232171,0.055750,0.241220
AA 20-40 M,0.205882,0.004545,34,0.179445,0.159838,0.189513,0.003991,0.003991,0.191030,0.155444,0.225789,0.107350,0.265873,0.075684,0.292804,0.043757,0.317605
AA 40-60 F,0.183168,0.000765,202,0.179040,0.176830,0.181715,0.000735,0.000735,0.183018,0.165218,0.201216,0.151109,0.215595,0.147072,0.228625,0.126912,0.237388
AA 40-60 M,0.241830,0.001010,153,0.226532,0.241830,0.241830,0.001120,0.001120,0.249638,0.223430,0.267967,0.205418,0.287218,0.189525,0.297083,0.182018,0.313123
AA 60-80 F,0.245902,0.000633,244,0.237543,0.236773,0.245168,0.000646,0.000646,0.245339,0.228912,0.260036,0.215139,0.283330,0.209152,0.293160,0.203138,0.298022
AA 60-80 M,0.272152,0.000978,158,0.277848,0.291761,0.274042,0.001190,0.001190,0.275325,0.255592,0.301930,0.232528,0.319918,0.217683,0.330053,0.201509,0.337548
AA 80-100 F,0.175000,0.001931,80,0.189064,0.190977,0.180881,0.002224,0.002224,0.186335,0.153861,0.219247,0.127727,0.246926,0.116923,0.257500,0.104554,0.285119
AA 80-100 M,0.225806,0.004984,31,0.228128,0.213854,0.221707,0.005444,0.005444,0.212469,0.171780,0.271823,0.124161,0.326493,0.094065,0.338331,0.079766,0.345771
C 20-40 F,0.138298,0.001644,94,0.163163,0.138298,0.138298,0.001328,0.001328,0.138412,0.114580,0.163871,0.096641,0.187573,0.077440,0.194411,0.070926,0.213323
C 20-40 M,0.208955,0.002306,67,0.178027,0.212769,0.211339,0.002354,0.002354,0.213147,0.177333,0.245075,0.150355,0.266281,0.134578,0.277287,0.125433,0.292979
C 40-60 F,0.138889,0.000358,432,0.142980,0.137760,0.138270,0.000345,0.000345,0.139076,0.127628,0.148499,0.112880,0.158209,0.101466,0.163157,0.090678,0.166726
C 40-60 M,0.118257,0.000321,482,0.123119,0.118257,0.118257,0.000346,0.000346,0.119408,0.105598,0.129584,0.092844,0.140909,0.084816,0.147087,0.082996,0.150080
C 60-80 F,0.237037,0.000164,945,0.234568,0.237037,0.237037,0.000157,0.000157,0.238619,0.229520,0.247316,0.222626,0.253336,0.216402,0.257495,0.212589,0.258772
C 60-80 M,0.216301,0.000161,957,0.218748,0.216301,0.216301,0.000138,0.000138,0.217356,0.208611,0.226217,0.203083,0.230871,0.198470,0.236136,0.195228,0.239780
C 80-100 F,0.180952,0.000294,525,0.179757,0.185455,0.181416,0.000285,0.000285,0.184734,0.171992,0.196515,0.158403,0.202071,0.151955,0.206598,0.150424,0.210619
C 80-100 M,0.203030,0.000468,330,0.198740,0.196571,0.202619,0.000422,0.000422,0.205707,0.191333,0.218188,0.176379,0.229147,0.171733,0.235235,0.165896,0.244356
H 20-40 F,0.000000,0.022074,7,0.074531,0.023443,0.022122,0.011250,0.011250,0.009807,-0.065606,0.071647,-0.109901,0.133621,-0.131533,0.170041,-0.145280,0.185601
H 20-40 M,0.000000,0.030903,5,0.088630,0.009875,-0.019600,0.011922,0.011922,-0.041911,-0.108858,0.020957,-0.202527,0.088226,-0.230691,0.106247,-0.254001,0.152671
