grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.618590,0.014932,58,0.630254,0.630254,0.645889,0.006806,0.006806,0.638502,0.595615,0.689079,0.532513,0.754379,0.510341,0.796563,0.496542,0.811818
AA 20-40 M,0.747253,0.026244,33,0.630254,0.630254,0.704299,0.005846,0.005846,0.712906,0.659798,0.755695,0.599154,0.801832,0.567804,0.832207,0.544535,0.841214
AA 40-60 F,0.689247,0.004309,201,0.630254,0.630254,0.680206,0.002784,0.002784,0.684083,0.641500,0.721416,0.624423,0.753767,0.610789,0.771639,0.568122,0.780491
AA 40-60 M,0.579651,0.005660,153,0.630254,0.630254,0.609158,0.003902,0.003902,0.625335,0.575276,0.658217,0.539573,0.686402,0.518612,0.721538,0.494818,0.734191
AA 60-80 F,0.615406,0.003549,244,0.630254,0.630254,0.614175,0.002652,0.002652,0.615721,0.584531,0.647313,0.554800,0.691288,0.536272,0.714410,0.529652,0.722646
AA 60-80 M,0.625253,0.005516,157,0.630254,0.630254,0.625891,0.004125,0.004125,0.633011,0.592676,0.678336,0.561331,0.717988,0.517988,0.730861,0.498757,0.754667
AA 80-100 F,0.668571,0.010826,80,0.630254,0.630254,0.635416,0.005508,0.005508,0.643725,0.595495,0.693399,0.552330,0.738268,0.522904,0.766006,0.517480,0.787638
AA 80-100 M,0.619048,0.027937,31,0.630254,0.630254,0.614683,0.007005,0.007005,0.606297,0.552472,0.687135,0.521650,0.727013,0.505600,0.753359,0.469289,0.765773
C 20-40 F,0.775527,0.009213,94,0.630254,0.630254,0.750708,0.004327,0.004327,0.757017,0.703842,0.791946,0.666125,0.842447,0.639090,0.865119,0.633772,0.873446
C 20-40 M,0.688095,0.012926,67,0.630254,0.630254,0.698380,0.005482,0.005482,0.706338,0.648743,0.751083,0.603711,0.795112,0.580682,0.806661,0.567423,0.822752
C 40-60 F,0.710096,0.002000,433,0.630254,0.630254,0.703095,0.001632,0.001632,0.701994,0.677620,0.725166,0.644815,0.745412,0.623416,0.755731,0.598297,0.765214
C 40-60 M,0.649778,0.001797,482,0.630254,0.630254,0.652227,0.001655,0.001655,0.654356,0.622145,0.679595,0.599551,0.699736,0.580813,0.716462,0.576546,0.719436
C 60-80 F,0.576232,0.000915,946,0.630254,0.630254,0.578216,0.000812,0.000812,0.582932,0.560013,0.603407,0.544138,0.614370,0.531917,0.625428,0.523361,0.627943
C 60-80 M,0.690665,0.000905,957,0.630254,0.630254,0.685812,0.000719,0.000719,0.688639,0.670120,0.708018,0.655097,0.718193,0.643297,0.731887,0.638087,0.740049
C 80-100 F,0.538995,0.001650,525,0.630254,0.630254,0.544796,0.001355,0.001355,0.553151,0.523311,0.577668,0.493778,0.588305,0.481813,0.604556,0.475589,0.608376
C 80-100 M,0.564283,0.002624,330,0.630254,0.630254,0.571709,0.001855,0.001855,0.577641,0.549311,0.602523,0.520489,0.629100,0.507254,0.645377,0.496066,0.661548
H 20-40 F,,,0,0.630254,0.630254,0.732951,,,,,,,,,,,
H 20-40 M,,,0,0.630254,0.630254,0.717929,,,,,,,,,,,
H 40-60 F,0.812500,0.048114,18,0.630254,0.630254,0.720533,0.006441,0.006441,0.720336,0.671282,0.766864,0.614013,0.829608,0.589183,0.855538,0.565434,0.868061
H 40-60 M,0.888889,0.045582,19,0.630254,0.630254,0.771538,0.006386,0.006386,0.788885,0.732558,0.833550,0.655640,0.872286,0.630207,0.889080,0.588904,0.892180
H 60-80 F,0.619048,0.037655,23,0.630254,0.630254,0.660848,0.007467,0.007467,0.680133,0.614713,0.743815,0.573392,0.780008,0.530989,0.801375,0.514409,0.818815
H 60-80 M,0.686275,0.043303,20,0.630254,0.630254,0.669952,0.006600,0.006600,0.682983,0.632069,0.741612,0.596060,0.802871,0.558851,0.816614,0.537161,0.835434
H 80-100 F,,,0,0.630254,0.630254,0.648812,,,,,,,,,,,
H 80-100 M,1.000000,0.288685,3,0.630254,0.630254,0.700544,0.005791,0.005791,0.702508,0.656046,0.762988,0.605308,0.806270,0.580174,0.819906,0.553069,0.834001
O 20-40 F,,,0,0.630254,0.630254,0.768928,,,,,,,,,,,
O 20-40 M,,,0,0.630254,0.630254,0.584050,,,,,,,,,,,
O 40-60 F,0.424242,0.061861,14,0.630254,0.630254,0.539036,0.008889,0.008889,0.529192,0.469096,0.599946,0.406726,0.640659,0.357034,0.661325,0.329973,0.683624
O 40-60 M,0.588235,0.045582,19,0.630254,0.630254,0.590618,0.007217,0.007217,0.586575,0.532970,0.637016,0.470664,0.690961,0.458026,0.738332,0.434384,0.781012
O 60-80 F,0.336957,0.032076,27,0.630254,0.630254,0.463255,0.008169,0.008169,0.453111,0.405813,0.504830,0.365229,0.557702,0.319863,0.634922,0.308274,0.679547
O 60-80 M,0.533333,0.030930,28,0.630254,0.630254,0.532497,0.007487,0.007487,0.544646,0.477584,0.602745,0.421273,0.644744,0.405826,0.674861,0.391565,0.699990
O 80-100 F,,,0,0.630254,0.630254,0.507123,,,,,,,,,,,
O 80-100 M,,,0,0.630254,0.630254,0.521689,,,,,,,,,,,
