grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.827586,0.003159,58,0.765526,0.751571,0.818411,0.002198,0.002198,0.811319,0.787285,0.844508,0.753507,0.876134,0.740410,0.898158,0.731038,0.912612
AA 20-40 M,0.727273,0.005552,33,0.765526,0.751571,0.746229,0.002941,0.002941,0.748460,0.714821,0.780428,0.672657,0.813862,0.650580,0.828835,0.627783,0.843350
AA 40-60 F,0.806931,0.000907,202,0.792494,0.830597,0.806776,0.000778,0.000778,0.809091,0.789572,0.828513,0.774290,0.843925,0.770850,0.854720,0.749565,0.861095
AA 40-60 M,0.738562,0.001197,153,0.792494,0.830597,0.743275,0.001150,0.001150,0.751653,0.724955,0.770984,0.705798,0.786642,0.692910,0.801022,0.681358,0.812806
AA 60-80 F,0.721311,0.000751,244,0.765526,0.751571,0.722798,0.000701,0.000701,0.722505,0.706507,0.739037,0.692117,0.761790,0.682884,0.772513,0.679975,0.777393
AA 60-80 M,0.662420,0.001167,157,0.765526,0.751571,0.667184,0.001222,0.001222,0.669556,0.648996,0.695443,0.630510,0.717742,0.610046,0.723263,0.595680,0.734702
AA 80-100 F,0.762500,0.002290,80,0.765526,0.751571,0.750945,0.002034,0.002034,0.756405,0.725273,0.788807,0.697537,0.814568,0.685093,0.821108,0.677631,0.849863
AA 80-100 M,0.800000,0.006107,30,0.765526,0.751571,0.786336,0.004081,0.004081,0.774401,0.740581,0.841863,0.697191,0.872080,0.690760,0.883926,0.673347,0.897072
C 20-40 F,0.819149,0.001949,94,0.765526,0.751571,0.820271,0.001236,0.001236,0.820590,0.794889,0.845196,0.775387,0.868926,0.762848,0.872902,0.755315,0.889673
C 20-40 M,0.848485,0.002776,66,0.765526,0.751571,0.842672,0.002219,0.002219,0.847822,0.813472,0.873276,0.780959,0.896123,0.770441,0.911359,0.758011,0.922079
C 40-60 F,0.849885,0.000423,433,0.792494,0.830597,0.849752,0.000388,0.000388,0.849680,0.838038,0.860205,0.821998,0.869808,0.810971,0.875817,0.798617,0.879962
C 40-60 M,0.842324,0.000380,482,0.792494,0.830597,0.842440,0.000396,0.000396,0.843021,0.828769,0.854471,0.815498,0.866680,0.806766,0.873102,0.805213,0.876492
C 60-80 F,0.752643,0.000194,946,0.765526,0.751571,0.752800,0.000182,0.000182,0.754462,0.744700,0.764245,0.737193,0.770551,0.730681,0.775613,0.726726,0.776106
C 60-80 M,0.753396,0.000191,957,0.765526,0.751571,0.753305,0.000161,0.000161,0.754602,0.745531,0.763669,0.738883,0.768785,0.733919,0.774843,0.730714,0.778475
C 80-100 F,0.725714,0.000349,525,0.765526,0.751571,0.726484,0.000322,0.000322,0.730131,0.716148,0.742279,0.702338,0.747789,0.695483,0.753570,0.692967,0.757912
C 80-100 M,0.766667,0.000555,330,0.765526,0.751571,0.765892,0.000461,0.000461,0.768511,0.754902,0.782173,0.740150,0.793729,0.734314,0.800464,0.728543,0.810374
