grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.102041,58,0.002814,0.002356,0.069371,0.132710,0.040816,0.163960,0.021254,0.186319,0.020194,0.200000
AA 20-40 M,0.148148,34,0.004801,0.004676,0.114316,0.190934,0.073563,0.231830,0.038390,0.250403,0.034483,0.307692
AA 40-60 F,0.159091,202,0.000808,0.000771,0.136769,0.177778,0.121387,0.191322,0.110427,0.200056,0.107081,0.202818
AA 40-60 M,0.194030,153,0.001067,0.000872,0.182316,0.210639,0.164167,0.235847,0.146795,0.248765,0.130245,0.261898
AA 60-80 F,0.223256,244,0.000669,0.001199,0.198845,0.247717,0.182243,0.270181,0.174078,0.282509,0.164209,0.288442
AA 60-80 M,0.242857,158,0.001033,0.001642,0.210609,0.263802,0.192412,0.295097,0.182239,0.303005,0.178315,0.319975
AA 80-100 F,0.123077,80,0.002041,0.001545,0.092308,0.141348,0.075428,0.171429,0.062405,0.181818,0.040780,0.189167
AA 80-100 M,0.214286,31,0.005266,0.006643,0.166667,0.252315,0.132903,0.334615,0.115171,0.371495,0.096528,0.413680
C 20-40 F,0.064103,94,0.001737,0.000797,0.047037,0.081359,0.034622,0.102697,0.025641,0.116960,0.024838,0.120851
C 20-40 M,0.160714,67,0.002436,0.002257,0.122105,0.183333,0.099804,0.216818,0.089207,0.237669,0.084698,0.245457
C 40-60 F,0.108179,432,0.000378,0.000261,0.096076,0.118601,0.085626,0.129415,0.081792,0.137676,0.079497,0.141206
C 40-60 M,0.106481,482,0.000339,0.000239,0.094485,0.113953,0.088331,0.124735,0.083692,0.132784,0.075071,0.136649
C 60-80 F,0.221571,945,0.000173,0.000197,0.213631,0.231750,0.205753,0.239894,0.198687,0.245630,0.193629,0.248776
C 60-80 M,0.189032,957,0.000171,0.000171,0.176859,0.195639,0.169331,0.201977,0.166383,0.205652,0.161458,0.210309
C 80-100 F,0.150327,525,0.000311,0.000246,0.139243,0.163067,0.129975,0.171027,0.127308,0.173398,0.124190,0.177103
C 80-100 M,0.190972,330,0.000495,0.000595,0.166970,0.203100,0.159850,0.219318,0.152591,0.228110,0.145572,0.242256
H 20-40 F,0.000000,7,0.023320,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 20-40 M,0.000000,5,0.032648,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.071429,19,0.008592,0.005455,0.000000,0.093182,0.000000,0.168182,0.000000,0.215110,0.000000,0.240865
H 40-60 M,0.166667,19,0.008592,0.009084,0.111111,0.238971,0.100987,0.315789,0.055556,0.353715,0.054020,0.396053
H 60-80 F,0.227273,23,0.007097,0.008110,0.179842,0.285714,0.130435,0.349407,0.090909,0.392194,0.086957,0.428571
H 60-80 M,0.294118,21,0.007773,0.014603,0.207895,0.352941,0.125000,0.446154,0.103333,0.500000,0.060570,0.527941
H 80-100 F,0.200000,6,0.027207,0.037725,0.000000,0.333333,0.000000,0.500000,0.000000,0.505000,0.000000,0.600000
H 80-100 M,0.500000,3,0.054413,0.214940,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 F,0.000000,3,0.054413,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 M,0.000000,2,0.081620,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.066667,15,0.010883,0.003927,0.000000,0.133333,0.000000,0.133333,0.000000,0.200000,0.000000,0.200000
O 40-60 M,0.166667,20,0.008162,0.006560,0.105263,0.210526,0.055556,0.236765,0.052632,0.279678,0.000000,0.352941
O 60-80 F,0.222222,27,0.006046,0.006062,0.148148,0.259259,0.111111,0.300000,0.111111,0.333333,0.074074,0.370370
O 60-80 M,0.260870,28,0.005830,0.010006,0.191850,0.324405,0.125000,0.392174,0.095238,0.400455,0.090909,0.438542
O 80-100 F,0.000000,10,0.016324,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.250000,5,0.032648,0.061715,0.000000,0.400000,0.000000,0.500000,0.000000,0.600000,0.000000,0.710417
