grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.428571,58,0.015998,0.044132,0.333333,0.555556,0.200000,0.666667,0.142857,0.864286,0.105278,1.000000
AA 20-40 M,0.000000,33,0.028118,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AA 40-60 F,0.428571,202,0.004593,0.007213,0.366667,0.472588,0.305000,0.534884,0.289286,0.566905,0.268516,0.581039
AA 40-60 M,0.156250,153,0.006065,0.004947,0.103448,0.200000,0.064516,0.233529,0.045265,0.270646,0.037037,0.300563
AA 60-80 F,0.150943,244,0.003803,0.002283,0.111691,0.175000,0.089486,0.213372,0.080613,0.234105,0.057356,0.237273
AA 60-80 M,0.215686,157,0.005910,0.003077,0.172911,0.240741,0.144599,0.275108,0.112771,0.304385,0.093400,0.313139
AA 80-100 F,0.176471,80,0.011599,0.010067,0.119412,0.230769,0.055556,0.314583,0.000000,0.353476,0.000000,0.394722
AA 80-100 M,0.000000,30,0.030929,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C 20-40 F,0.285714,94,0.009871,0.017298,0.187500,0.368421,0.141905,0.416667,0.090909,0.500000,0.086932,0.578889
C 20-40 M,0.500000,66,0.014059,0.044000,0.364583,0.617788,0.250000,0.734545,0.200000,0.857143,0.079167,0.940625
C 40-60 F,0.346154,433,0.002143,0.005013,0.316752,0.404886,0.266531,0.453199,0.249364,0.468150,0.232010,0.486806
C 40-60 M,0.180328,482,0.001925,0.002474,0.144928,0.203191,0.119864,0.241832,0.093373,0.265737,0.081250,0.273920
C 60-80 F,0.153439,946,0.000981,0.000499,0.137220,0.167592,0.123405,0.178026,0.118540,0.191652,0.116272,0.200083
C 60-80 M,0.190909,957,0.000970,0.000739,0.170457,0.201147,0.155371,0.223489,0.145800,0.240655,0.136918,0.251849
C 80-100 F,0.141509,525,0.001767,0.001326,0.123231,0.177555,0.096062,0.190816,0.090691,0.201861,0.072494,0.209012
C 80-100 M,0.160714,330,0.002812,0.002487,0.129630,0.193411,0.099524,0.220222,0.085106,0.250000,0.084746,0.255909
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.000000,0,,,,,,,,,,
H 40-60 M,0.500000,19,0.048836,0.098382,0.291667,0.666667,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 60-80 F,0.000000,23,0.040343,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 60-80 M,0.333333,21,0.044185,0.091350,0.000000,0.500000,0.000000,0.700000,0.000000,1.000000,0.000000,1.000000
H 80-100 F,0.000000,5,0.185577,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.000000,3,0.309295,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 F,0.000000,0,,,,,,,,,,
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,1.000000,14,0.066277,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 M,0.333333,19,0.048836,0.109182,0.000000,0.500000,0.000000,0.900000,0.000000,1.000000,0.000000,1.000000
O 60-80 F,0.250000,27,0.034366,0.049677,0.000000,0.333333,0.000000,0.500000,0.000000,0.606667,0.000000,0.712500
O 60-80 M,0.000000,28,0.033139,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 F,0.000000,9,0.103098,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.000000,5,0.185577,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
