grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.333333,0.015373,58,0.204699,0.204699,0.333637,0.012332,0.012332,0.322144,0.260258,0.397295,0.183673,0.478138,0.145357,0.524961,0.133972,0.539031
AA 20-40 M,0.200000,0.027019,33,0.204699,0.204699,0.237806,0.018067,0.018067,0.246578,0.163958,0.319661,0.054010,0.408152,0.010057,0.456368,-0.057665,0.490372
AA 40-60 F,0.228571,0.004436,201,0.204699,0.204699,0.227027,0.003961,0.003961,0.230454,0.187303,0.273503,0.155825,0.309107,0.148988,0.335742,0.098038,0.353473
AA 40-60 M,0.464286,0.005828,153,0.204699,0.204699,0.448916,0.005900,0.005900,0.467988,0.407449,0.510009,0.364959,0.548132,0.332690,0.575395,0.311968,0.609497
AA 60-80 F,0.137931,0.003654,244,0.204699,0.204699,0.136559,0.003509,0.003509,0.135777,0.098911,0.172613,0.068866,0.223971,0.046896,0.249206,0.040582,0.260189
AA 60-80 M,0.173913,0.005679,157,0.204699,0.204699,0.173404,0.006284,0.006284,0.178793,0.130412,0.237329,0.083947,0.286835,0.042261,0.299607,0.009428,0.323432
AA 80-100 F,0.125000,0.011286,79,0.204699,0.204699,0.128800,0.010846,0.010846,0.141257,0.072770,0.213020,0.016173,0.277951,-0.021108,0.288739,-0.041143,0.356061
AA 80-100 M,0.000000,0.028762,31,0.204699,0.204699,0.067210,0.024830,0.024830,0.044837,-0.040210,0.204905,-0.151919,0.279074,-0.179642,0.303848,-0.212293,0.335887
C 20-40 F,0.333333,0.009485,94,0.204699,0.204699,0.334707,0.006478,0.006478,0.335234,0.279425,0.390276,0.233970,0.445730,0.206594,0.461634,0.183401,0.493763
C 20-40 M,0.500000,0.013509,66,0.204699,0.204699,0.478154,0.011816,0.011816,0.486900,0.410890,0.559581,0.338148,0.598534,0.305345,0.637852,0.291671,0.664647
C 40-60 F,0.205882,0.002059,433,0.204699,0.204699,0.206635,0.001915,0.001915,0.207189,0.179715,0.230039,0.144679,0.250454,0.120041,0.264784,0.094049,0.273017
C 40-60 M,0.179104,0.001850,482,0.204699,0.204699,0.181144,0.001963,0.001963,0.182773,0.151263,0.208331,0.120569,0.235425,0.100753,0.249242,0.097433,0.256629
C 60-80 F,0.170404,0.000943,946,0.204699,0.204699,0.169944,0.000891,0.000891,0.173945,0.152102,0.195410,0.135781,0.208991,0.121017,0.220237,0.111837,0.220989
C 60-80 M,0.224390,0.000932,957,0.204699,0.204699,0.223892,0.000786,0.000786,0.226224,0.206180,0.247164,0.191715,0.258315,0.181045,0.271537,0.173294,0.279852
C 80-100 F,0.202020,0.001698,525,0.204699,0.204699,0.201900,0.001591,0.001591,0.209458,0.179282,0.238714,0.148471,0.248523,0.132119,0.261273,0.127961,0.270970
C 80-100 M,0.086957,0.002702,330,0.204699,0.204699,0.091692,0.002316,0.002316,0.097483,0.065948,0.128637,0.032198,0.153011,0.021079,0.168739,0.008231,0.190480
H 20-40 F,1.000000,0.127373,7,0.204699,0.204699,0.751153,0.071858,0.071858,0.758822,0.510425,0.894924,0.354947,1.071262,0.299759,1.109085,0.251826,1.224433
H 20-40 M,,,0,0.204699,0.204699,0.553048,,,,,,,,,,,
H 40-60 F,0.666667,0.046927,19,0.204699,0.204699,0.592573,0.024581,0.024581,0.582893,0.471583,0.703820,0.369832,0.768604,0.329503,0.853460,0.295303,0.880035
H 40-60 M,0.333333,0.049534,18,0.204699,0.204699,0.394178,0.029596,0.029596,0.392928,0.286173,0.487598,0.184483,0.611822,0.091721,0.657381,-0.000340,0.697856
H 60-80 F,0.200000,0.040528,22,0.204699,0.204699,0.243651,0.022888,0.022888,0.278142,0.151106,0.395901,0.073939,0.430966,0.002166,0.457017,-0.047763,0.539425
H 60-80 M,0.333333,0.042458,21,0.204699,0.204699,0.355778,0.022163,0.022163,0.382864,0.291953,0.500733,0.207818,0.590687,0.186255,0.621827,0.106612,0.655775
H 80-100 F,,,0,0.204699,0.204699,0.395526,,,,,,,,,,,
H 80-100 M,1.000000,0.222903,4,0.204699,0.204699,0.697378,0.048550,0.048550,0.721538,0.551206,0.846798,0.401221,0.956300,0.333548,1.015768,0.268287,1.045705
O 20-40 F,0.000000,0.222903,4,0.204699,0.204699,0.169209,0.106505,0.106505,0.137062,-0.070822,0.372553,-0.166370,0.537439,-0.361114,0.716545,-0.505594,0.850429
O 20-40 M,,,0,0.204699,0.204699,0.394039,,,,,,,,,,,
O 40-60 F,0.000000,0.063687,14,0.204699,0.204699,0.089915,0.025666,0.025666,0.094789,-0.011974,0.197132,-0.159965,0.255178,-0.248507,0.303871,-0.278986,0.324527
O 40-60 M,0.200000,0.046927,19,0.204699,0.204699,0.219428,0.027483,0.027483,0.220727,0.100993,0.321586,0.009475,0.439519,-0.025563,0.531291,-0.064287,0.582235
