grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.827586,58,0.002979,0.002388,0.793103,0.849138,0.758621,0.881034,0.741379,0.896552,0.732328,0.905603
AA 20-40 M,0.787879,33,0.005236,0.006904,0.750000,0.848485,0.696970,0.909091,0.665152,0.909091,0.636364,0.925000
AA 40-60 F,0.791045,201,0.000860,0.000714,0.776119,0.805970,0.756219,0.820896,0.741294,0.830846,0.738682,0.835821
AA 40-60 M,0.810458,153,0.001129,0.001095,0.789216,0.831699,0.777778,0.856209,0.764706,0.869281,0.751307,0.869281
AA 60-80 F,0.700820,244,0.000708,0.000789,0.683402,0.717213,0.663934,0.734016,0.659426,0.754303,0.649488,0.766803
AA 60-80 M,0.681529,157,0.001101,0.001031,0.656051,0.700637,0.643312,0.726115,0.630573,0.732803,0.627229,0.738854
AA 80-100 F,0.662500,80,0.002160,0.002312,0.637500,0.700000,0.611250,0.725000,0.586875,0.750000,0.568438,0.756562
AA 80-100 M,0.741935,31,0.005574,0.005554,0.677419,0.774194,0.645161,0.838710,0.612903,0.838710,0.595968,0.870968
C 20-40 F,0.787234,94,0.001838,0.001247,0.765957,0.808511,0.744681,0.840426,0.723404,0.840957,0.712766,0.851064
C 20-40 M,0.731343,67,0.002579,0.003183,0.686567,0.761194,0.655224,0.776119,0.641045,0.792537,0.619030,0.843657
C 40-60 F,0.824480,433,0.000399,0.000335,0.815242,0.838915,0.806005,0.850115,0.803580,0.859122,0.798961,0.867263
C 40-60 M,0.825726,482,0.000358,0.000423,0.815353,0.840249,0.798548,0.850622,0.790353,0.856846,0.785114,0.863174
C 60-80 F,0.725159,946,0.000183,0.000197,0.716702,0.735729,0.707188,0.744186,0.699789,0.748467,0.697622,0.750581
C 60-80 M,0.776385,957,0.000181,0.000160,0.768025,0.784744,0.761651,0.794148,0.756426,0.797335,0.749713,0.798877
C 80-100 F,0.739048,525,0.000329,0.000366,0.727619,0.750952,0.716190,0.765714,0.708476,0.771619,0.704762,0.777238
C 80-100 M,0.730303,330,0.000524,0.000515,0.718182,0.749242,0.705758,0.760606,0.699848,0.767121,0.692197,0.780379
H 20-40 F,0.857143,7,0.024685,0.018605,0.857143,1.000000,0.714286,1.000000,0.571429,1.000000,0.571429,1.000000
H 20-40 M,1.000000,5,0.034559,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 40-60 F,0.777778,18,0.009600,0.011297,0.722222,0.888889,0.666667,0.944444,0.611111,0.944444,0.611111,0.944444
H 40-60 M,0.894737,19,0.009095,0.006125,0.842105,0.947368,0.789474,0.947368,0.736842,1.000000,0.736842,1.000000
H 60-80 F,0.739130,23,0.007513,0.011838,0.652174,0.826087,0.608696,0.873913,0.565217,0.913043,0.521739,0.913043
H 60-80 M,0.750000,20,0.008640,0.009117,0.700000,0.800000,0.600000,0.850000,0.597500,0.900000,0.523750,0.900000
H 80-100 F,1.000000,5,0.034559,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 80-100 M,0.666667,3,0.057599,0.129478,0.333333,1.000000,0.333333,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 F,0.500000,4,0.043199,0.082525,0.250000,0.562500,0.250000,0.750000,0.000000,0.762500,0.000000,1.000000
O 20-40 M,1.000000,2,0.086398,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 F,0.714286,14,0.012343,0.012654,0.642857,0.785714,0.571429,0.857143,0.567857,0.857143,0.500000,0.928571
O 40-60 M,0.736842,19,0.009095,0.011204,0.684211,0.789474,0.631579,0.842105,0.576316,0.894737,0.526316,0.922368
O 60-80 F,0.777778,27,0.006400,0.007641,0.740741,0.851852,0.666667,0.888889,0.629630,0.890741,0.592593,0.945370
O 60-80 M,0.892857,28,0.006171,0.003198,0.857143,0.928571,0.821429,0.964286,0.785714,0.964286,0.785714,0.983036
O 80-100 F,0.888889,9,0.019200,0.011351,0.888889,1.000000,0.777778,1.000000,0.666667,1.000000,0.666667,1.000000
O 80-100 M,1.000000,5,0.034559,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
