grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.137931,58,0.002567,0.002494,0.103448,0.172414,0.086207,0.206897,0.068966,0.224138,0.051724,0.233190
AA 20-40 M,0.181818,33,0.004512,0.005479,0.121212,0.212121,0.087879,0.272727,0.060606,0.303030,0.044697,0.318939
AA 40-60 F,0.184080,201,0.000741,0.000720,0.164179,0.199005,0.144279,0.213930,0.139303,0.223881,0.131716,0.228856
AA 40-60 M,0.137255,153,0.000973,0.000834,0.111111,0.150327,0.098039,0.169935,0.091176,0.176471,0.078431,0.183333
AA 60-80 F,0.282787,244,0.000610,0.000830,0.262295,0.303279,0.249590,0.319672,0.237500,0.332172,0.231455,0.342316
AA 60-80 M,0.331210,157,0.000948,0.000889,0.305732,0.343949,0.286624,0.363057,0.273885,0.382166,0.273885,0.382166
AA 80-100 F,0.287500,80,0.001861,0.002508,0.250000,0.312500,0.225000,0.350000,0.211875,0.375000,0.193438,0.387500
AA 80-100 M,0.225806,31,0.004803,0.006225,0.193548,0.290323,0.129032,0.322581,0.096774,0.324194,0.096774,0.387097
C 20-40 F,0.244681,94,0.001584,0.001774,0.223404,0.276596,0.202128,0.308511,0.190957,0.319681,0.175266,0.329787
C 20-40 M,0.223881,67,0.002222,0.002064,0.194030,0.253731,0.179104,0.283582,0.149254,0.298507,0.141418,0.306343
C 40-60 F,0.152425,433,0.000344,0.000272,0.137991,0.161663,0.127021,0.168591,0.120092,0.173326,0.117783,0.175520
C 40-60 M,0.134855,482,0.000309,0.000209,0.126037,0.143154,0.116183,0.155602,0.114108,0.157780,0.108869,0.161826
C 60-80 F,0.242072,946,0.000157,0.000177,0.233351,0.248414,0.225899,0.255814,0.219820,0.259144,0.216147,0.269609
C 60-80 M,0.217346,957,0.000156,0.000161,0.209770,0.224922,0.201672,0.235110,0.196238,0.237252,0.191223,0.240883
C 80-100 F,0.177143,525,0.000284,0.000272,0.167143,0.190476,0.154286,0.198286,0.148381,0.203810,0.144762,0.203810
C 80-100 M,0.239394,330,0.000451,0.000536,0.224242,0.249242,0.205758,0.263939,0.199848,0.269848,0.193788,0.278939
H 20-40 F,0.142857,7,0.021269,0.018605,0.000000,0.142857,0.000000,0.285714,0.000000,0.428571,0.000000,0.428571
H 20-40 M,0.000000,5,0.029776,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.222222,18,0.008271,0.009950,0.166667,0.277778,0.111111,0.333333,0.055556,0.388889,0.055556,0.388889
H 40-60 M,0.052632,19,0.007836,0.002994,0.000000,0.105263,0.000000,0.105263,0.000000,0.157895,0.000000,0.185526
H 60-80 F,0.260870,23,0.006473,0.009661,0.173913,0.304348,0.130435,0.391304,0.130435,0.393478,0.107609,0.457609
H 60-80 M,0.100000,20,0.007444,0.003184,0.050000,0.150000,0.050000,0.155000,0.047500,0.200000,0.000000,0.200000
H 80-100 F,0.000000,5,0.029776,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.000000,3,0.049627,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 F,0.500000,4,0.037220,0.082525,0.437500,0.750000,0.250000,0.750000,0.237500,1.000000,0.000000,1.000000
O 20-40 M,0.000000,2,0.074441,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.071429,14,0.010634,0.005059,0.000000,0.142857,0.000000,0.142857,0.000000,0.214286,0.000000,0.214286
O 40-60 M,0.157895,19,0.007836,0.007855,0.105263,0.210526,0.052632,0.263158,0.052632,0.315789,0.025000,0.343421
O 60-80 F,0.148148,27,0.005514,0.005918,0.074074,0.185185,0.074074,0.259259,0.037037,0.296296,0.037037,0.296296
O 60-80 M,0.071429,28,0.005317,0.002434,0.035714,0.107143,0.032143,0.142857,0.000000,0.178571,0.000000,0.178571
O 80-100 F,0.111111,9,0.016542,0.011351,0.000000,0.111111,0.000000,0.222222,0.000000,0.333333,0.000000,0.333333
O 80-100 M,0.000000,5,0.029776,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
