grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.081633,0.002929,58,0.120461,0.118479,0.095720,0.002139,0.002139,0.091011,0.065431,0.120980,0.039083,0.163791,0.021030,0.168634,0.013799,0.184924
AA 20-40 M,0.111111,0.005148,33,0.140047,0.119816,0.107156,0.002484,0.002484,0.110144,0.081675,0.135283,0.044894,0.167126,0.021200,0.185730,0.001966,0.203919
AA 40-60 F,0.119048,0.000841,202,0.128524,0.130863,0.119600,0.000793,0.000793,0.123017,0.102496,0.141145,0.087696,0.154736,0.083455,0.167241,0.063596,0.177975
AA 40-60 M,0.200000,0.001110,153,0.167890,0.200000,0.200000,0.001215,0.001215,0.207391,0.180876,0.228710,0.161820,0.248266,0.145156,0.256059,0.137284,0.269327
AA 60-80 F,0.211268,0.000696,244,0.204611,0.185352,0.205452,0.000701,0.000701,0.207196,0.188236,0.223488,0.175050,0.245197,0.166438,0.256616,0.162644,0.260820
AA 60-80 M,0.300752,0.001082,157,0.269419,0.300752,0.300752,0.001349,0.001349,0.302102,0.281344,0.331807,0.257084,0.350298,0.241469,0.360643,0.224455,0.369676
AA 80-100 F,0.194444,0.002124,80,0.198716,0.212101,0.201837,0.002205,0.002205,0.206762,0.172946,0.233421,0.146217,0.261995,0.139653,0.277478,0.118675,0.311685
AA 80-100 M,0.111111,0.005663,30,0.146979,0.114442,0.112097,0.004139,0.004139,0.101789,0.065561,0.154796,0.021293,0.190774,0.014561,0.218685,0.000993,0.230115
C 20-40 F,0.120482,0.001807,94,0.101364,0.097291,0.115965,0.001293,0.001293,0.116924,0.091737,0.143403,0.073342,0.160823,0.058899,0.172693,0.050849,0.194633
C 20-40 M,0.071429,0.002574,66,0.108143,0.096164,0.080002,0.002252,0.002252,0.083676,0.050624,0.110230,0.022049,0.133097,0.004903,0.146773,-0.011936,0.170367
C 40-60 F,0.088542,0.000392,433,0.099884,0.088542,0.088542,0.000376,0.000376,0.088933,0.077108,0.098827,0.061276,0.108060,0.051737,0.114606,0.037530,0.117756
C 40-60 M,0.112360,0.000352,482,0.115759,0.106636,0.111442,0.000380,0.000380,0.112404,0.097691,0.124021,0.085048,0.134935,0.076537,0.141671,0.075345,0.144810
C 60-80 F,0.189798,0.000180,946,0.191623,0.191959,0.189889,0.000172,0.000172,0.191917,0.181695,0.201096,0.174805,0.206830,0.168264,0.211318,0.164268,0.212387
C 60-80 M,0.207701,0.000178,957,0.202893,0.209223,0.207728,0.000151,0.000151,0.209218,0.199681,0.217446,0.193581,0.222941,0.189031,0.228100,0.185313,0.231418
