grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.827586,0.002923,58,0.828817,0.821325,0.824742,0.002852,0.002852,0.820400,0.791354,0.856781,0.749985,0.893595,0.736921,0.916461,0.729751,0.925938
AA 20-40 M,0.787879,0.005137,33,0.818389,0.810273,0.801642,0.004918,0.004918,0.801150,0.760128,0.843804,0.701449,0.883285,0.680626,0.911454,0.646683,0.933203
AA 40-60 F,0.786070,0.000843,201,0.786196,0.788636,0.785837,0.000822,0.000822,0.787858,0.767142,0.806381,0.753772,0.822166,0.749462,0.837924,0.728263,0.844293
AA 40-60 M,0.830065,0.001108,153,0.822022,0.830065,0.830065,0.001245,0.001245,0.838244,0.810793,0.857491,0.791928,0.878698,0.775282,0.889042,0.767419,0.905713
AA 60-80 F,0.733607,0.000695,244,0.731029,0.726510,0.731075,0.000717,0.000717,0.730885,0.714138,0.747201,0.699612,0.771707,0.691808,0.781302,0.687176,0.786382
AA 60-80 M,0.681529,0.001080,157,0.689359,0.681529,0.681529,0.001313,0.001313,0.683210,0.662143,0.711373,0.641422,0.733701,0.621986,0.739479,0.606726,0.750338
AA 80-100 F,0.759494,0.002146,79,0.753482,0.770123,0.764242,0.002456,0.002456,0.767163,0.734647,0.804888,0.709575,0.833613,0.695818,0.844632,0.681728,0.871656
AA 80-100 M,0.677419,0.005468,31,0.717114,0.677419,0.677419,0.006772,0.006772,0.669914,0.620216,0.749584,0.561239,0.787171,0.542073,0.799569,0.523390,0.807362
C 20-40 F,0.851064,0.001803,94,0.853790,0.860301,0.854179,0.001457,0.001457,0.855948,0.828700,0.879836,0.809738,0.906119,0.791197,0.912952,0.783779,0.934925
C 20-40 M,0.878788,0.002568,66,0.860189,0.878788,0.878788,0.002689,0.002689,0.883312,0.842902,0.918339,0.812923,0.937175,0.797783,0.956183,0.788133,0.966172
C 40-60 F,0.810624,0.000391,433,0.810027,0.810892,0.810459,0.000374,0.000374,0.810535,0.798396,0.820192,0.783279,0.829946,0.772129,0.836528,0.760970,0.840238
C 40-60 M,0.802905,0.000352,482,0.802905,0.800862,0.802445,0.000387,0.000387,0.803581,0.789413,0.814011,0.775584,0.826759,0.766275,0.832641,0.765259,0.835776
C 60-80 F,0.732558,0.000179,946,0.733856,0.732558,0.732558,0.000171,0.000171,0.734480,0.724847,0.743851,0.717641,0.749713,0.711268,0.753975,0.707131,0.755010
C 60-80 M,0.765935,0.000177,957,0.764652,0.765935,0.765935,0.000152,0.000152,0.766963,0.757897,0.776322,0.752017,0.781150,0.747528,0.786715,0.743546,0.790733
