grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.120690,58,0.002634,0.001690,0.086207,0.137931,0.068966,0.172414,0.051724,0.189655,0.051724,0.206897
AA 20-40 M,0.205882,34,0.004493,0.006246,0.147059,0.264706,0.117647,0.297059,0.088235,0.323529,0.072794,0.368382
AA 40-60 F,0.139303,201,0.000760,0.000489,0.124378,0.154229,0.109453,0.169154,0.104478,0.169403,0.096891,0.174129
AA 40-60 M,0.156863,153,0.000998,0.001028,0.143791,0.178105,0.117647,0.196732,0.111111,0.222222,0.101144,0.228758
AA 60-80 F,0.204918,244,0.000626,0.000812,0.184426,0.225410,0.159836,0.237705,0.155533,0.245902,0.147541,0.252152
AA 60-80 M,0.305732,157,0.000973,0.001277,0.280255,0.324841,0.260510,0.350318,0.248089,0.363694,0.242038,0.375796
AA 80-100 F,0.212500,80,0.001910,0.001579,0.184375,0.225000,0.150000,0.262500,0.137500,0.275000,0.137500,0.281562
AA 80-100 M,0.100000,30,0.005092,0.002659,0.066667,0.133333,0.033333,0.166667,0.033333,0.200000,0.033333,0.200000
C 20-40 F,0.095745,94,0.001625,0.000908,0.074468,0.117021,0.063830,0.138298,0.053191,0.149468,0.042553,0.159574
C 20-40 M,0.149254,67,0.002280,0.002206,0.119403,0.179104,0.089552,0.208955,0.074627,0.223881,0.058955,0.254478
C 40-60 F,0.129630,432,0.000354,0.000283,0.113426,0.138889,0.106250,0.148148,0.099537,0.155093,0.098322,0.159838
C 40-60 M,0.134855,482,0.000317,0.000229,0.126556,0.143672,0.116183,0.155602,0.109855,0.157676,0.107884,0.160840
C 60-80 F,0.222222,945,0.000162,0.000177,0.212698,0.229894,0.206032,0.237037,0.199947,0.242328,0.195714,0.245053
C 60-80 M,0.233020,957,0.000160,0.000194,0.225444,0.244514,0.217241,0.253918,0.214159,0.258098,0.211076,0.260188
C 80-100 F,0.188571,525,0.000291,0.000290,0.175238,0.196190,0.160000,0.203810,0.152286,0.207714,0.147571,0.210524
C 80-100 M,0.211480,331,0.000462,0.000438,0.199396,0.232628,0.184290,0.241994,0.181269,0.247734,0.178248,0.250755
H 20-40 F,0.166667,6,0.025460,0.030232,0.000000,0.333333,0.000000,0.333333,0.000000,0.500000,0.000000,0.500000
H 20-40 M,0.000000,5,0.030552,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.157895,19,0.008040,0.005546,0.105263,0.210526,0.052632,0.263158,0.052632,0.263158,0.000000,0.290789
H 40-60 M,0.166667,18,0.008487,0.007195,0.111111,0.222222,0.055556,0.277778,0.055556,0.277778,0.000000,0.306944
H 60-80 F,0.173913,23,0.006642,0.005844,0.130435,0.217391,0.086957,0.260870,0.043478,0.304348,0.043478,0.304348
H 60-80 M,0.285714,21,0.007274,0.009619,0.226190,0.333333,0.190476,0.380952,0.142857,0.428571,0.142857,0.501190
H 80-100 F,0.000000,6,0.025460,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.000000,3,0.050920,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 F,0.333333,3,0.050920,0.099327,0.000000,0.333333,0.000000,0.666667,0.000000,0.666667,0.000000,0.666667
O 20-40 M,0.000000,3,0.050920,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.142857,14,0.010911,0.009022,0.071429,0.214286,0.000000,0.285714,0.000000,0.285714,0.000000,0.285714
O 40-60 M,0.157895,19,0.008040,0.008580,0.105263,0.210526,0.052632,0.315789,0.000000,0.315789,0.000000,0.315789
O 60-80 F,0.111111,27,0.005658,0.003568,0.074074,0.148148,0.037037,0.185185,0.037037,0.187037,0.017593,0.222222
O 60-80 M,0.214286,28,0.005456,0.005782,0.142857,0.285714,0.107143,0.285714,0.107143,0.321429,0.088393,0.340179
O 80-100 F,0.000000,9,0.016973,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.000000,4,0.038190,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
