grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.827586,58,0.003159,0.002994,0.793103,0.862069,0.758621,0.898276,0.740517,0.913793,0.706897,0.913793
AA 20-40 M,0.727273,33,0.005552,0.006977,0.666667,0.757576,0.606061,0.818182,0.575758,0.850000,0.559848,0.878788
AA 40-60 F,0.806931,202,0.000907,0.000813,0.782178,0.821782,0.762376,0.837129,0.757426,0.846535,0.754827,0.856436
AA 40-60 M,0.738562,153,0.001197,0.001462,0.712418,0.758170,0.698693,0.784967,0.685294,0.797712,0.656699,0.823856
AA 60-80 F,0.721311,244,0.000751,0.000909,0.696721,0.734631,0.679508,0.754098,0.667623,0.758607,0.657684,0.772643
AA 60-80 M,0.662420,157,0.001167,0.001843,0.635350,0.687898,0.598726,0.714013,0.592038,0.726433,0.566561,0.738854
AA 80-100 F,0.762500,80,0.002290,0.001922,0.737500,0.787500,0.700000,0.812500,0.675000,0.825000,0.668438,0.837500
AA 80-100 M,0.800000,30,0.006107,0.005582,0.733333,0.833333,0.700000,0.866667,0.666667,0.900000,0.649167,0.933333
C 20-40 F,0.819149,94,0.001949,0.001366,0.797872,0.851064,0.776596,0.872340,0.755319,0.882979,0.755319,0.893617
C 20-40 M,0.848485,66,0.002776,0.001717,0.818182,0.878788,0.787879,0.893939,0.772727,0.924242,0.772727,0.924242
C 40-60 F,0.849885,433,0.000423,0.000271,0.838337,0.862009,0.829099,0.872979,0.824249,0.875404,0.818649,0.878811
C 40-60 M,0.842324,482,0.000380,0.000314,0.829357,0.850622,0.813278,0.858921,0.804876,0.865145,0.801815,0.867220
C 60-80 F,0.752643,946,0.000194,0.000175,0.745243,0.764271,0.736786,0.770613,0.733562,0.772727,0.730391,0.777511
C 60-80 M,0.753396,957,0.000191,0.000234,0.741902,0.763323,0.733542,0.771160,0.727220,0.777534,0.724033,0.781165
C 80-100 F,0.725714,525,0.000349,0.000328,0.714286,0.739524,0.706286,0.750667,0.700952,0.756190,0.696143,0.761905
C 80-100 M,0.766667,330,0.000555,0.000731,0.745455,0.781818,0.733333,0.803333,0.727121,0.815152,0.719621,0.819773
H 20-40 F,1.000000,7,0.026172,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 20-40 M,1.000000,5,0.036641,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 40-60 F,0.888889,18,0.010178,0.006793,0.833333,0.944444,0.777778,1.000000,0.722222,1.000000,0.722222,1.000000
H 40-60 M,0.842105,19,0.009642,0.006714,0.789474,0.894737,0.736842,0.947368,0.734211,1.000000,0.684211,1.000000
H 60-80 F,0.695652,23,0.007965,0.012882,0.608696,0.782609,0.565217,0.830435,0.521739,0.869565,0.478261,0.869565
H 60-80 M,0.904762,21,0.008724,0.004909,0.857143,0.952381,0.809524,1.000000,0.761905,1.000000,0.761905,1.000000
H 80-100 F,0.800000,5,0.036641,0.039414,0.800000,1.000000,0.600000,1.000000,0.400000,1.000000,0.400000,1.000000
H 80-100 M,0.333333,3,0.061069,0.107744,0.000000,0.333333,0.000000,0.666667,0.000000,0.666667,0.000000,1.000000
O 20-40 F,0.666667,3,0.061069,0.087542,0.666667,1.000000,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000
O 20-40 M,1.000000,3,0.061069,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 F,1.000000,14,0.013086,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 M,0.894737,19,0.009642,0.005788,0.842105,0.947368,0.789474,1.000000,0.786842,1.000000,0.736842,1.000000
O 60-80 F,0.814815,27,0.006785,0.005705,0.740741,0.851852,0.703704,0.888889,0.703704,0.925926,0.666667,0.945370
O 60-80 M,0.857143,28,0.006543,0.003882,0.821429,0.892857,0.750000,0.928571,0.750000,0.928571,0.731250,0.947321
O 80-100 F,0.666667,9,0.020356,0.030774,0.555556,0.777778,0.444444,0.888889,0.438889,0.888889,0.333333,0.947222
O 80-100 M,0.800000,5,0.036641,0.049551,0.600000,1.000000,0.400000,1.000000,0.400000,1.000000,0.400000,1.000000
