grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.120690,58,0.002723,0.002405,0.086207,0.155172,0.068966,0.172414,0.051724,0.224138,0.051724,0.241379
AA 20-40 M,0.090909,33,0.004787,0.002364,0.060606,0.121212,0.030303,0.151515,0.030303,0.181818,0.014394,0.181818
AA 40-60 F,0.173267,202,0.000782,0.000536,0.158416,0.188119,0.148515,0.207921,0.138366,0.212871,0.133663,0.217822
AA 40-60 M,0.209150,153,0.001032,0.001379,0.183007,0.235294,0.163399,0.254902,0.150000,0.267974,0.143791,0.277941
AA 60-80 F,0.217213,244,0.000647,0.000706,0.200820,0.234631,0.184426,0.250410,0.180123,0.262500,0.163934,0.266393
AA 60-80 M,0.324841,157,0.001006,0.001775,0.299363,0.350318,0.273248,0.376433,0.261146,0.394904,0.245064,0.404936
AA 80-100 F,0.212500,80,0.001974,0.002242,0.184375,0.237500,0.150000,0.263750,0.150000,0.287500,0.137500,0.319062
AA 80-100 M,0.100000,30,0.005265,0.002700,0.066667,0.133333,0.033333,0.166667,0.033333,0.168333,0.015833,0.200000
C 20-40 F,0.148936,94,0.001680,0.000977,0.127660,0.170213,0.106383,0.191489,0.106383,0.191489,0.095745,0.202128
C 20-40 M,0.121212,66,0.002393,0.001968,0.090909,0.151515,0.060606,0.181818,0.045455,0.196970,0.037500,0.204924
C 40-60 F,0.120092,433,0.000365,0.000264,0.110277,0.129908,0.101617,0.141109,0.096882,0.147921,0.093476,0.156178
C 40-60 M,0.126556,482,0.000328,0.000202,0.120332,0.143154,0.111826,0.147510,0.105705,0.153631,0.102645,0.155602
C 60-80 F,0.199789,946,0.000167,0.000182,0.190275,0.209302,0.183827,0.215751,0.176427,0.222040,0.173362,0.224656
C 60-80 M,0.229885,957,0.000165,0.000215,0.218391,0.239812,0.210031,0.247649,0.206897,0.250940,0.205303,0.256557
C 80-100 F,0.201905,525,0.000301,0.000264,0.191905,0.213810,0.182667,0.223048,0.178857,0.228667,0.168524,0.231476
C 80-100 M,0.169697,330,0.000479,0.000467,0.159848,0.188636,0.145455,0.203030,0.142273,0.209091,0.134621,0.210682
H 20-40 F,0.000000,7,0.022566,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 20-40 M,0.000000,5,0.031592,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.000000,18,0.008776,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 M,0.210526,19,0.008314,0.009313,0.105263,0.263158,0.052632,0.315789,0.052632,0.368421,0.052632,0.396053
H 60-80 F,0.217391,23,0.006868,0.008399,0.130435,0.260870,0.130435,0.347826,0.086957,0.391304,0.064130,0.414130
H 60-80 M,0.142857,21,0.007522,0.006608,0.095238,0.190476,0.047619,0.238095,0.047619,0.285714,0.022619,0.310714
H 80-100 F,0.200000,5,0.031592,0.039414,0.000000,0.200000,0.000000,0.400000,0.000000,0.600000,0.000000,0.600000
H 80-100 M,0.333333,3,0.052653,0.124512,0.000000,0.666667,0.000000,0.666667,0.000000,1.000000,0.000000,1.000000
O 20-40 F,0.000000,3,0.052653,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 M,0.000000,3,0.052653,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.071429,14,0.011283,0.004939,0.000000,0.089286,0.000000,0.150000,0.000000,0.214286,0.000000,0.214286
O 40-60 M,0.157895,19,0.008314,0.006380,0.105263,0.210526,0.052632,0.263158,0.052632,0.315789,0.000000,0.315789
O 60-80 F,0.148148,27,0.005850,0.005131,0.111111,0.185185,0.074074,0.259259,0.037037,0.259259,0.037037,0.296296
O 60-80 M,0.071429,28,0.005641,0.002148,0.035714,0.107143,0.032143,0.142857,0.000000,0.144643,0.000000,0.178571
O 80-100 F,0.222222,9,0.017551,0.021302,0.111111,0.333333,0.111111,0.444444,0.000000,0.444444,0.000000,0.555556
O 80-100 M,0.200000,5,0.031592,0.049551,0.000000,0.400000,0.000000,0.600000,0.000000,0.600000,0.000000,0.600000
