grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.666667,58,0.038492,0.051120,0.567460,0.804545,0.400000,1.000000,0.283929,1.000000,0.182500,1.000000
AA 20-40 M,0.571429,33,0.067653,0.052297,0.461111,0.750000,0.285714,0.876389,0.245833,1.000000,0.142857,1.000000
AA 40-60 F,0.666667,201,0.011107,0.014890,0.615385,0.769231,0.549545,0.834211,0.525000,0.909091,0.467188,0.968333
AA 40-60 M,0.785714,153,0.014592,0.011412,0.714286,0.857143,0.666667,0.916667,0.624519,0.928810,0.571364,0.972059
AA 60-80 F,0.558824,244,0.009150,0.005450,0.500000,0.617997,0.461331,0.666667,0.441069,0.678643,0.437500,0.689176
AA 60-80 M,0.454545,157,0.014220,0.010629,0.406818,0.539263,0.346377,0.600000,0.285317,0.636545,0.250000,0.649744
AA 80-100 F,0.700000,80,0.027907,0.025360,0.580357,0.800000,0.500000,0.888889,0.453247,1.000000,0.400000,1.000000
AA 80-100 M,0.666667,31,0.072018,0.089388,0.500000,1.000000,0.333333,1.000000,0.000000,1.000000,0.000000,1.000000
C 20-40 F,0.400000,94,0.023751,0.016333,0.300000,0.466667,0.235294,0.539161,0.213571,0.611806,0.171324,0.641979
C 20-40 M,0.714286,67,0.033322,0.029786,0.600000,0.861607,0.500000,1.000000,0.500000,1.000000,0.413571,1.000000
C 40-60 F,0.613636,433,0.005156,0.005574,0.566980,0.666667,0.532632,0.706313,0.485773,0.732219,0.454990,0.743555
C 40-60 M,0.679245,482,0.004632,0.005187,0.640707,0.721026,0.577949,0.775466,0.553785,0.797031,0.540040,0.800000
C 60-80 F,0.653465,946,0.002360,0.002560,0.620911,0.688807,0.588654,0.727372,0.580929,0.740949,0.564339,0.751233
C 60-80 M,0.530000,957,0.002333,0.002904,0.498832,0.567857,0.457143,0.600317,0.440817,0.618325,0.433219,0.630290
C 80-100 F,0.814286,525,0.004253,0.001846,0.776667,0.833824,0.753082,0.851351,0.733888,0.859462,0.716197,0.879073
C 80-100 M,0.656250,330,0.006765,0.007900,0.595833,0.715714,0.532941,0.766013,0.512179,0.806754,0.500000,0.818182
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.500000,18,0.124031,0.185740,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 40-60 M,1.000000,19,0.117503,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 60-80 F,0.500000,23,0.097068,0.167824,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 60-80 M,1.000000,20,0.111628,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 80-100 F,0.000000,0,,,,,,,,,,
H 80-100 M,1.000000,3,0.744188,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 F,0.000000,0,,,,,,,,,,
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,1.000000,14,0.159469,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 M,1.000000,19,0.117503,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 60-80 F,0.750000,27,0.082688,0.076244,0.600000,1.000000,0.386667,1.000000,0.150000,1.000000,0.000000,1.000000
O 60-80 M,0.666667,28,0.079734,0.106176,0.500000,1.000000,0.250000,1.000000,0.000000,1.000000,0.000000,1.000000
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,0.000000,0,,,,,,,,,,
