grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.137931,0.002567,58,0.203925,0.154248,0.145171,0.002271,0.002271,0.143378,0.111386,0.169050,0.088812,0.209700,0.069370,0.231129,0.060157,0.239456
AA 20-40 M,0.181818,0.004512,33,0.205834,0.182647,0.177100,0.002577,0.002577,0.180552,0.147507,0.204799,0.101901,0.245590,0.075392,0.252675,0.071874,0.265758
AA 40-60 F,0.184080,0.000741,201,0.177502,0.182958,0.185874,0.000713,0.000713,0.187441,0.170381,0.205680,0.156315,0.221206,0.151783,0.232793,0.131279,0.239981
AA 40-60 M,0.137255,0.000973,153,0.167396,0.137255,0.137255,0.001129,0.001129,0.143975,0.118728,0.163076,0.098761,0.180745,0.087435,0.190562,0.076563,0.207365
AA 60-80 F,0.282787,0.000610,244,0.269622,0.278635,0.282093,0.000615,0.000615,0.282127,0.265592,0.296169,0.252616,0.319676,0.244571,0.328342,0.242017,0.332394
AA 60-80 M,0.331210,0.000948,157,0.301788,0.331210,0.331210,0.001174,0.001174,0.332786,0.313042,0.359828,0.290331,0.380185,0.275713,0.385985,0.259785,0.396245
AA 80-100 F,0.287500,0.001861,80,0.229856,0.287500,0.287500,0.002120,0.002120,0.295792,0.262247,0.329648,0.236588,0.354401,0.223776,0.363792,0.212578,0.391819
AA 80-100 M,0.225806,0.004803,31,0.223153,0.234345,0.211110,0.004261,0.004261,0.203468,0.161496,0.261877,0.128763,0.293568,0.105638,0.310120,0.092547,0.329882
C 20-40 F,0.244681,0.001584,94,0.245346,0.267382,0.251777,0.001250,0.001250,0.253186,0.227449,0.274667,0.206930,0.299806,0.191204,0.307752,0.185799,0.324397
C 20-40 M,0.223881,0.002222,67,0.195128,0.200883,0.215109,0.001938,0.001938,0.219605,0.187924,0.241702,0.159895,0.259387,0.144538,0.271803,0.134816,0.299070
C 40-60 F,0.152425,0.000344,433,0.153565,0.160941,0.153594,0.000325,0.000325,0.153611,0.142202,0.162610,0.127529,0.171358,0.117672,0.176242,0.106747,0.181248
C 40-60 M,0.134855,0.000309,482,0.136614,0.131495,0.134828,0.000331,0.000331,0.136216,0.122538,0.145682,0.110079,0.157624,0.101852,0.163582,0.100740,0.166066
C 60-80 F,0.242072,0.000157,946,0.237202,0.242072,0.242072,0.000151,0.000151,0.243396,0.234788,0.252482,0.228000,0.258440,0.221827,0.262143,0.218086,0.263173
C 60-80 M,0.217346,0.000156,957,0.219011,0.214813,0.216886,0.000133,0.000133,0.218292,0.209628,0.226620,0.203706,0.231102,0.199379,0.237068,0.196581,0.239948
C 80-100 F,0.177143,0.000284,525,0.185172,0.171069,0.176165,0.000271,0.000271,0.179767,0.166886,0.191555,0.154318,0.195852,0.147579,0.200789,0.145626,0.205061
C 80-100 M,0.239394,0.000451,330,0.225387,0.239394,0.239394,0.000412,0.000412,0.242919,0.228258,0.255062,0.213637,0.264303,0.209045,0.271918,0.204085,0.280649
H 20-40 F,0.142857,0.021269,7,0.157322,0.161272,0.132474,0.010300,0.010300,0.103478,0.045958,0.190454,-0.013812,0.241261,-0.052386,0.280630,-0.070326,0.304151
H 20-40 M,0.000000,0.029776,5,0.116304,0.018453,-0.012018,0.007248,0.007248,-0.046638,-0.107312,0.019279,-0.170755,0.047049,-0.194270,0.058439,-0.205215,0.088889
H 40-60 F,0.222222,0.008271,18,0.142606,0.119087,0.160333,0.003216,0.003216,0.154467,0.115062,0.199490,0.075049,0.226806,0.060451,0.249364,0.049960,0.259173
H 40-60 M,0.052632,0.007836,19,0.142546,0.156298,0.105986,0.003544,0.003544,0.113736,0.069571,0.152138,0.031847,0.183552,0.004019,0.196032,-0.025178,0.205183
H 60-80 F,0.260870,0.006473,23,0.251190,0.251792,0.251551,0.003848,0.003848,0.267861,0.223291,0.315724,0.185166,0.331512,0.144898,0.339227,0.127337,0.366710
