grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.120690,0.002723,58,0.151354,0.148310,0.129976,0.002563,0.002563,0.125607,0.099312,0.160267,0.060214,0.196090,0.044744,0.218516,0.038278,0.227665
AA 20-40 M,0.090909,0.004787,33,0.138215,0.119039,0.100900,0.003943,0.003943,0.098363,0.068704,0.129393,0.023511,0.183789,-0.014590,0.206906,-0.034332,0.232359
AA 40-60 F,0.173267,0.000782,202,0.172490,0.179066,0.174855,0.000756,0.000756,0.177715,0.159269,0.195155,0.143853,0.211241,0.139828,0.222285,0.119130,0.231145
AA 40-60 M,0.209150,0.001032,153,0.196480,0.203990,0.205961,0.001151,0.001151,0.213257,0.186905,0.229426,0.168929,0.250569,0.153076,0.261164,0.145485,0.278177
AA 60-80 F,0.217213,0.000647,244,0.209155,0.201628,0.212715,0.000663,0.000663,0.214178,0.196607,0.230472,0.181531,0.251040,0.176094,0.261124,0.170321,0.266105
AA 60-80 M,0.324841,0.001006,157,0.309722,0.324841,0.324841,0.001233,0.001233,0.326184,0.306127,0.353605,0.282733,0.375205,0.267676,0.379320,0.251270,0.389893
AA 80-100 F,0.212500,0.001974,80,0.205492,0.210574,0.211837,0.002271,0.002271,0.214457,0.183527,0.245973,0.155054,0.278269,0.141879,0.289306,0.134664,0.319859
AA 80-100 M,0.100000,0.005265,30,0.142856,0.134823,0.114983,0.006018,0.006018,0.107556,0.063753,0.179523,-0.000311,0.221336,-0.015894,0.229884,-0.025360,0.242496
C 20-40 F,0.148936,0.001680,94,0.134388,0.129636,0.143459,0.001350,0.001350,0.146123,0.119507,0.173472,0.104399,0.193306,0.082659,0.200149,0.075499,0.219316
C 20-40 M,0.121212,0.002393,66,0.131178,0.122461,0.123623,0.002422,0.002422,0.127553,0.094445,0.155473,0.061530,0.179762,0.045664,0.195275,0.033949,0.210759
C 40-60 F,0.120092,0.000365,433,0.125563,0.120092,0.120092,0.000354,0.000354,0.120470,0.109124,0.130323,0.093694,0.138913,0.083092,0.145226,0.071389,0.148263
C 40-60 M,0.126556,0.000328,482,0.131337,0.126352,0.126764,0.000359,0.000359,0.127890,0.112991,0.137983,0.101184,0.149667,0.092590,0.155913,0.090610,0.158940
C 60-80 F,0.199789,0.000167,946,0.201805,0.202235,0.200053,0.000161,0.000161,0.202254,0.192024,0.211012,0.185513,0.216614,0.179109,0.220724,0.175009,0.221877
C 60-80 M,0.229885,0.000165,957,0.227408,0.229885,0.229885,0.000142,0.000142,0.230981,0.222092,0.239741,0.216244,0.244716,0.211857,0.249936,0.208272,0.253450
C 80-100 F,0.201905,0.000301,525,0.197391,0.201905,0.201905,0.000290,0.000290,0.205265,0.192347,0.216149,0.179380,0.222218,0.172118,0.227268,0.170569,0.231567
C 80-100 M,0.169697,0.000479,330,0.169980,0.168659,0.169704,0.000439,0.000439,0.172606,0.157714,0.185454,0.143174,0.195901,0.138023,0.202675,0.131734,0.213519
H 20-40 F,0.000000,0.022566,7,0.003720,-0.035050,-0.013145,0.010319,0.010319,-0.032721,-0.096287,0.033615,-0.130399,0.090174,-0.173486,0.112064,-0.187809,0.129976
H 20-40 M,0.000000,0.031592,5,-0.050994,-0.060543,-0.039895,0.010768,0.010768,-0.065484,-0.140275,0.003815,-0.195614,0.071851,-0.217249,0.104795,-0.236624,0.132582
H 40-60 F,0.000000,0.008776,18,0.046997,0.014439,0.019600,0.006980,0.006980,0.010517,-0.047104,0.074114,-0.085784,0.122061,-0.107397,0.158860,-0.121927,0.184482
H 40-60 M,0.210526,0.008314,19,0.152895,0.169021,0.186376,0.005884,0.005884,0.186808,0.142520,0.224823,0.091970,0.267726,0.018629,0.284759,-0.005009,0.336652
H 60-80 F,0.217391,0.006868,23,0.202172,0.222424,0.232021,0.004903,0.004903,0.244009,0.201738,0.285122,0.151430,0.312236,0.108925,0.320296,0.069705,0.343792
