grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.571429,0.032697,58,0.658712,0.658712,0.576146,0.022295,0.022295,0.561259,0.478481,0.665645,0.375839,0.761161,0.318155,0.842476,0.306815,0.853228
AA 20-40 M,0.750000,0.057467,33,0.658712,0.658712,0.708164,0.028772,0.028772,0.722506,0.622680,0.805291,0.473238,0.912372,0.414432,0.979197,0.340849,1.033550
AA 40-60 F,0.666667,0.009435,201,0.658712,0.658712,0.658201,0.007841,0.007841,0.660225,0.600719,0.724396,0.559701,0.776798,0.545805,0.813501,0.475283,0.834331
AA 40-60 M,0.458333,0.012395,153,0.658712,0.658712,0.466648,0.011561,0.011561,0.495947,0.409714,0.552006,0.347065,0.601872,0.306837,0.651979,0.271715,0.688415
AA 60-80 F,0.652174,0.007772,244,0.658712,0.658712,0.656017,0.007031,0.007031,0.654741,0.603051,0.708063,0.559438,0.780730,0.529756,0.813610,0.520404,0.831770
AA 60-80 M,0.600000,0.012079,157,0.658712,0.658712,0.607879,0.012222,0.012222,0.615479,0.553002,0.694805,0.485682,0.764501,0.423722,0.786256,0.378074,0.822649
AA 80-100 F,0.714286,0.024005,79,0.658712,0.658712,0.726065,0.020051,0.020051,0.743752,0.655386,0.844565,0.568999,0.926820,0.525156,0.950663,0.500192,1.032366
AA 80-100 M,1.000000,0.061175,31,0.658712,0.658712,0.896087,0.038807,0.038807,0.868612,0.749851,1.070591,0.647918,1.157777,0.601280,1.203535,0.555322,1.238304
C 20-40 F,0.727273,0.020175,94,0.658712,0.658712,0.718554,0.012120,0.012120,0.716523,0.645752,0.786639,0.571674,0.874326,0.535883,0.893685,0.520241,0.925919
C 20-40 M,0.750000,0.028734,66,0.658712,0.658712,0.736144,0.021580,0.021580,0.754375,0.642719,0.845896,0.544844,0.898847,0.503084,0.956414,0.483632,0.984016
C 40-60 F,0.666667,0.004380,433,0.658712,0.658712,0.663632,0.003967,0.003967,0.663196,0.626117,0.697139,0.574402,0.726039,0.537966,0.748052,0.501237,0.760612
C 40-60 M,0.769231,0.003934,482,0.658712,0.658712,0.761708,0.004022,0.004022,0.764725,0.718948,0.801580,0.674796,0.839675,0.647285,0.858899,0.642888,0.870642
C 60-80 F,0.641509,0.002005,946,0.658712,0.658712,0.643465,0.001870,0.001870,0.649010,0.617846,0.680105,0.593250,0.699950,0.572761,0.716189,0.559479,0.718145
C 60-80 M,0.585586,0.001982,957,0.658712,0.658712,0.587689,0.001659,0.001659,0.592406,0.562561,0.620848,0.541128,0.637614,0.524974,0.656851,0.515101,0.668783
C 80-100 F,0.701493,0.003612,525,0.658712,0.658712,0.705341,0.003283,0.003283,0.717602,0.673041,0.758002,0.625948,0.772887,0.604300,0.792216,0.599658,0.804860
C 80-100 M,0.823529,0.005747,330,0.658712,0.658712,0.819012,0.004668,0.004668,0.827242,0.783245,0.870930,0.736819,0.907970,0.718596,0.930313,0.699124,0.959273
H 20-40 F,0.000000,0.270918,7,0.658712,0.658712,0.340591,0.102417,0.102417,0.347353,0.065773,0.528279,-0.133162,0.718187,-0.200033,0.817479,-0.244052,0.911664
H 20-40 M,,,0,0.658712,0.658712,0.520126,,,,,,,,,,,
H 40-60 F,0.333333,0.099812,19,0.658712,0.658712,0.400585,0.038075,0.038075,0.382363,0.258034,0.528123,0.154698,0.616681,0.076005,0.728684,0.012268,0.782013
H 40-60 M,0.000000,0.105357,18,0.658712,0.658712,0.102946,0.043585,0.043585,0.118601,-0.045079,0.213799,-0.163350,0.381643,-0.264181,0.408413,-0.366283,0.458625
H 60-80 F,0.500000,0.086201,22,0.658712,0.658712,0.504649,0.034944,0.034944,0.553977,0.396279,0.685503,0.322581,0.740893,0.214167,0.780021,0.150424,0.872953
H 60-80 M,0.750000,0.090306,21,0.658712,0.658712,0.621258,0.032552,0.032552,0.643558,0.538068,0.794721,0.444520,0.911738,0.405309,0.947398,0.316723,0.961598
H 80-100 F,,,0,0.658712,0.658712,0.661962,,,,,,,,,,,
H 80-100 M,0.500000,0.474106,4,0.658712,0.658712,0.411411,0.053657,0.053657,0.439675,0.233112,0.583451,0.091295,0.692301,0.020052,0.742574,-0.014044,0.793361
O 20-40 F,,,0,0.658712,0.658712,0.271130,,,,,,,,,,,
O 20-40 M,,,0,0.658712,0.658712,0.539715,,,,,,,,,,,
O 40-60 F,,,0,0.658712,0.658712,0.473084,,,,,,,,,,,
O 40-60 M,0.000000,0.099812,19,0.658712,0.658712,0.223776,0.039764,0.039764,0.221438,0.097046,0.362775,-0.014677,0.462476,-0.080994,0.610124,-0.126004,0.674360
O 60-80 F,1.000000,0.070238,27,0.658712,0.658712,0.825994,0.034975,0.034975,0.817950,0.727939,0.908776,0.574230,1.058900,0.509502,1.112832,0.482906,1.243374
O 60-80 M,0.500000,0.067729,28,0.658712,0.658712,0.544049,0.033351,0.033351,0.568091,0.445066,0.687568,0.329259,0.771928,0.247412,0.860284,0.225659,0.908824
O 80-100 F,1.000000,0.210714,9,0.658712,0.658712,0.806823,0.048858,0.048858,0.837314,0.689841,0.927932,0.558760,1.083773,0.403288,1.146199,0.298923,1.201699
O 80-100 M,0.000000,0.379285,5,0.658712,0.658712,0.465157,0.054882,0.054882,0.466054,0.316211,0.631569,0.186075,0.754901,0.120467,0.885406,0.072027,0.955138
