grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.285714,0.017154,58,0.220542,0.220542,0.284124,0.012099,0.012099,0.273037,0.209727,0.347511,0.134641,0.407371,0.095138,0.480634,0.089085,0.500059
AA 20-40 M,0.142857,0.029262,34,0.220542,0.220542,0.164202,0.015988,0.015988,0.170989,0.105266,0.243392,-0.002266,0.317759,-0.057359,0.359614,-0.116518,0.386919
AA 40-60 F,0.285714,0.004950,201,0.220542,0.220542,0.286580,0.004193,0.004193,0.290252,0.245286,0.335468,0.213834,0.371411,0.206901,0.398036,0.152268,0.415887
AA 40-60 M,0.250000,0.006503,153,0.220542,0.220542,0.250327,0.006194,0.006194,0.270653,0.208493,0.313930,0.164299,0.349988,0.132771,0.384348,0.108385,0.412333
AA 60-80 F,0.140000,0.004078,244,0.220542,0.220542,0.140731,0.003760,0.003760,0.140759,0.103059,0.177711,0.070446,0.230620,0.047430,0.257121,0.040456,0.268189
AA 60-80 M,0.104167,0.006337,157,0.220542,0.220542,0.104719,0.006576,0.006576,0.111597,0.061760,0.167860,0.014683,0.219499,-0.030079,0.234552,-0.061715,0.260643
AA 80-100 F,0.176471,0.012436,80,0.220542,0.220542,0.186333,0.010729,0.010729,0.199833,0.130192,0.269662,0.074439,0.333553,0.030700,0.348335,0.017973,0.407688
AA 80-100 M,0.333333,0.033164,30,0.220542,0.220542,0.291165,0.021245,0.021245,0.271129,0.191520,0.419018,0.095356,0.483820,0.054652,0.512105,0.037141,0.537292
C 20-40 F,0.555556,0.010584,94,0.220542,0.220542,0.514274,0.006648,0.006648,0.514990,0.455984,0.573872,0.412021,0.624287,0.382135,0.637642,0.361563,0.674060
C 20-40 M,0.100000,0.014849,67,0.220542,0.220542,0.134370,0.010936,0.010936,0.149012,0.070938,0.207066,0.001096,0.256040,-0.027669,0.283851,-0.048482,0.314671
C 40-60 F,0.321429,0.002303,432,0.220542,0.220542,0.321058,0.002096,0.002096,0.320867,0.293345,0.345803,0.255863,0.367311,0.229961,0.382370,0.203489,0.390927
C 40-60 M,0.200000,0.002064,482,0.220542,0.220542,0.203713,0.002145,0.002145,0.205244,0.172610,0.232699,0.140626,0.260645,0.119766,0.275336,0.116990,0.282267
C 60-80 F,0.166667,0.001053,945,0.220542,0.220542,0.167076,0.000984,0.000984,0.171391,0.148269,0.193743,0.131109,0.207607,0.115869,0.220262,0.106079,0.221040
C 60-80 M,0.215247,0.001040,957,0.220542,0.220542,0.214208,0.000872,0.000872,0.217036,0.195902,0.238560,0.180526,0.250192,0.169061,0.264432,0.161013,0.273023
C 80-100 F,0.262626,0.001895,525,0.220542,0.220542,0.262014,0.001743,0.001743,0.270554,0.238739,0.300490,0.205779,0.310949,0.190202,0.326360,0.184866,0.334397
C 80-100 M,0.200000,0.003006,331,0.220542,0.220542,0.201044,0.002513,0.002513,0.207895,0.175252,0.239148,0.139330,0.264655,0.126308,0.282833,0.113989,0.303947
H 20-40 F,0.000000,0.165819,6,0.220542,0.220542,0.210621,0.037240,0.037240,0.195641,0.033187,0.323170,-0.057096,0.417171,-0.107167,0.531326,-0.156014,0.554892
H 20-40 M,,,0,0.220542,0.220542,0.388208,,,,,,,,,,,
H 40-60 F,0.333333,0.052364,19,0.220542,0.220542,0.361353,0.026903,0.026903,0.339747,0.233867,0.470407,0.150029,0.538023,0.090443,0.650524,0.033710,0.663760
H 40-60 M,1.000000,0.055273,18,0.220542,0.220542,0.745494,0.022460,0.022460,0.756007,0.640836,0.836349,0.551045,0.948041,0.489224,0.985206,0.412045,1.001902
H 60-80 F,0.500000,0.043257,23,0.220542,0.220542,0.408962,0.018579,0.018579,0.441948,0.329401,0.539533,0.269336,0.582725,0.188308,0.614297,0.154150,0.671161
H 60-80 M,0.000000,0.047377,21,0.220542,0.220542,0.126560,0.019286,0.019286,0.158962,0.059885,0.245790,-0.004632,0.354868,-0.043451,0.383398,-0.086100,0.419578
H 80-100 F,,,0,0.220542,0.220542,0.286203,,,,,,,,,,,
H 80-100 M,,,0,0.220542,0.220542,0.368510,,,,,,,,,,,
O 20-40 F,0.000000,0.331637,3,0.220542,0.220542,0.091005,0.110255,0.110255,0.093438,-0.128049,0.276898,-0.316383,0.545038,-0.463191,0.596658,-0.553452,0.751976
O 20-40 M,,,0,0.220542,0.220542,0.003526,,,,,,,,,,,
O 40-60 F,0.000000,0.071065,14,0.220542,0.220542,0.161227,0.024079,0.024079,0.156781,0.066262,0.267886,-0.071331,0.329753,-0.161453,0.352447,-0.201920,0.381918
O 40-60 M,0.333333,0.052364,19,0.220542,0.220542,0.266178,0.023727,0.023727,0.268482,0.160528,0.358056,0.088714,0.459050,0.010788,0.563218,-0.003005,0.619534
O 60-80 F,0.000000,0.036849,27,0.220542,0.220542,0.016996,0.021300,0.021300,-0.002610,-0.073756,0.077833,-0.171285,0.181926,-0.227507,0.253351,-0.251227,0.341941
O 60-80 M,0.000000,0.035533,28,0.220542,0.220542,0.014004,0.018480,0.018480,0.035186,-0.075578,0.117195,-0.148981,0.198459,-0.183041,0.232267,-0.222003,0.285350
O 80-100 F,,,0,0.220542,0.220542,0.149341,,,,,,,,,,,
O 80-100 M,,,0,0.220542,0.220542,0.123364,,,,,,,,,,,
