grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.155172,58,0.002480,0.001972,0.120690,0.172414,0.103448,0.224138,0.086207,0.224138,0.086207,0.241379
AA 20-40 M,0.151515,33,0.004360,0.004668,0.113636,0.181818,0.060606,0.212121,0.060606,0.272727,0.044697,0.303030
AA 40-60 F,0.174129,201,0.000716,0.000782,0.159204,0.194030,0.139303,0.213930,0.129104,0.219403,0.124378,0.228856
AA 40-60 M,0.183007,153,0.000940,0.000814,0.163399,0.202614,0.150327,0.222222,0.150327,0.235621,0.136928,0.248693
AA 60-80 F,0.237705,244,0.000590,0.000683,0.221311,0.258197,0.209016,0.270492,0.196721,0.274590,0.180328,0.276742
AA 60-80 M,0.292994,157,0.000916,0.001502,0.272293,0.318471,0.235669,0.343949,0.228981,0.356688,0.222930,0.366401
AA 80-100 F,0.202532,79,0.001821,0.001694,0.177215,0.227848,0.151899,0.253165,0.138608,0.265823,0.126582,0.272468
AA 80-100 M,0.225806,31,0.004641,0.004794,0.193548,0.290323,0.129032,0.322581,0.129032,0.354839,0.096774,0.354839
C 20-40 F,0.095745,94,0.001531,0.001222,0.071809,0.117021,0.053191,0.139362,0.042553,0.148936,0.031915,0.170213
C 20-40 M,0.060606,66,0.002180,0.000841,0.030303,0.075758,0.015152,0.090909,0.015152,0.106061,0.007197,0.121212
C 40-60 F,0.157044,433,0.000332,0.000348,0.142610,0.170901,0.133718,0.182448,0.129330,0.189376,0.129330,0.193995
C 40-60 M,0.139004,482,0.000298,0.000233,0.132780,0.151452,0.122199,0.159751,0.114004,0.164004,0.109959,0.168154
C 60-80 F,0.235729,946,0.000152,0.000184,0.227008,0.243393,0.215539,0.251691,0.211364,0.257981,0.209804,0.260597
C 60-80 M,0.214211,957,0.000150,0.000118,0.204807,0.218652,0.200627,0.226855,0.198328,0.230930,0.191667,0.232524
C 80-100 F,0.188571,525,0.000274,0.000283,0.175238,0.200000,0.165714,0.209524,0.159905,0.215238,0.157095,0.217238
C 80-100 M,0.209091,330,0.000436,0.000412,0.200000,0.221970,0.187576,0.236364,0.178788,0.245455,0.172727,0.250076
H 20-40 F,0.142857,7,0.020553,0.023807,0.000000,0.178571,0.000000,0.285714,0.000000,0.428571,0.000000,0.428571
H 20-40 M,0.000000,5,0.028774,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.157895,19,0.007572,0.008037,0.105263,0.210526,0.052632,0.263158,0.000000,0.265789,0.000000,0.315789
H 40-60 M,0.333333,18,0.007993,0.015416,0.277778,0.444444,0.166667,0.500000,0.166667,0.555556,0.111111,0.555556
H 60-80 F,0.227273,22,0.006539,0.010619,0.136364,0.318182,0.090909,0.363636,0.045455,0.365909,0.045455,0.409091
H 60-80 M,0.142857,21,0.006851,0.006458,0.095238,0.190476,0.047619,0.238095,0.047619,0.285714,0.047619,0.310714
H 80-100 F,0.000000,6,0.023978,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.250000,4,0.035967,0.064815,0.000000,0.500000,0.000000,0.500000,0.000000,0.750000,0.000000,0.750000
O 20-40 F,0.250000,4,0.035967,0.049663,0.250000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.631250
O 20-40 M,0.000000,2,0.071934,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.142857,14,0.010276,0.008050,0.071429,0.142857,0.000000,0.214286,0.000000,0.285714,0.000000,0.285714
O 40-60 M,0.263158,19,0.007572,0.012469,0.157895,0.328947,0.152632,0.368421,0.105263,0.421053,0.105263,0.473684
O 60-80 F,0.148148,27,0.005328,0.005217,0.111111,0.185185,0.074074,0.259259,0.074074,0.296296,0.037037,0.333333
O 60-80 M,0.214286,28,0.005138,0.006746,0.142857,0.285714,0.107143,0.321429,0.105357,0.357143,0.071429,0.375893
O 80-100 F,0.000000,9,0.015985,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.200000,5,0.028774,0.043813,0.000000,0.400000,0.000000,0.400000,0.000000,0.410000,0.000000,0.600000
