grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.666667,58,0.032608,0.025670,0.571429,0.771368,0.500000,0.858929,0.428571,0.926923,0.347727,1.000000
AA 20-40 M,0.571429,34,0.055626,0.041804,0.400000,0.700000,0.333333,0.819697,0.250000,1.000000,0.250000,1.000000
AA 40-60 F,0.653846,202,0.009363,0.008565,0.611111,0.731410,0.560000,0.800769,0.515323,0.818344,0.491532,0.829891
AA 40-60 M,0.421053,153,0.012361,0.014438,0.333333,0.478261,0.261842,0.563393,0.213571,0.611325,0.176563,0.639706
AA 60-80 F,0.586207,244,0.007751,0.007221,0.518199,0.625893,0.472982,0.682057,0.454545,0.700484,0.426683,0.764583
AA 60-80 M,0.500000,158,0.011970,0.014015,0.408824,0.571429,0.356429,0.636364,0.332576,0.722222,0.314063,0.739205
AA 80-100 F,0.600000,80,0.023641,0.015028,0.500000,0.671053,0.444444,0.735000,0.400000,0.752500,0.373601,0.809545
AA 80-100 M,0.666667,31,0.061009,0.095254,0.500000,1.000000,0.250000,1.000000,0.000000,1.000000,0.000000,1.000000
C 20-40 F,0.500000,94,0.020120,0.019227,0.435268,0.626645,0.333333,0.692308,0.298889,0.750000,0.275126,0.769231
C 20-40 M,0.545455,67,0.028228,0.023746,0.428571,0.600000,0.333333,0.693077,0.221825,0.734167,0.154167,0.824231
C 40-60 F,0.641509,432,0.004378,0.003855,0.595114,0.680000,0.565956,0.731751,0.555470,0.750000,0.546000,0.771066
C 40-60 M,0.780000,482,0.003924,0.003927,0.734354,0.816009,0.679391,0.848229,0.659917,0.860711,0.640717,0.869956
C 60-80 F,0.619565,945,0.002001,0.002477,0.591378,0.656077,0.567654,0.687868,0.551666,0.696055,0.540438,0.731296
C 60-80 M,0.550000,957,0.001976,0.001970,0.503713,0.567625,0.481812,0.595570,0.466029,0.606430,0.454214,0.617536
C 80-100 F,0.606061,525,0.003602,0.003585,0.566447,0.652325,0.530757,0.676565,0.507432,0.695169,0.491413,0.714476
C 80-100 M,0.714286,330,0.005731,0.004675,0.674419,0.767442,0.641071,0.796236,0.600000,0.830343,0.583287,0.848171
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.800000,19,0.099541,0.055506,0.666667,1.000000,0.500000,1.000000,0.396667,1.000000,0.158333,1.000000
H 40-60 M,0.000000,19,0.099541,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 60-80 F,1.000000,23,0.082229,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 60-80 M,1.000000,21,0.090061,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 80-100 F,0.000000,6,0.315212,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.000000,3,0.630424,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 F,1.000000,3,0.630424,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.000000,0,,,,,,,,,,
O 40-60 M,0.500000,20,0.094564,0.123340,0.500000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 60-80 F,0.000000,0,,,,,,,,,,
O 60-80 M,0.600000,28,0.067545,0.057564,0.428571,0.800000,0.333333,1.000000,0.250000,1.000000,0.222500,1.000000
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,0.000000,5,0.378254,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
