grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.666667,58,0.035957,0.046113,0.600000,0.833333,0.400000,1.000000,0.333333,1.000000,0.095000,1.000000
AA 20-40 M,0.750000,34,0.061339,0.050274,0.645833,1.000000,0.500000,1.000000,0.333333,1.000000,0.333333,1.000000
AA 40-60 F,0.652174,201,0.010376,0.007801,0.631579,0.750000,0.571429,0.789837,0.520000,0.814983,0.500000,0.833333
AA 40-60 M,0.538462,153,0.013631,0.019595,0.459790,0.615385,0.398462,0.692308,0.307014,0.751389,0.275714,0.819231
AA 60-80 F,0.666667,244,0.008547,0.011777,0.597727,0.736842,0.500000,0.800000,0.469786,0.809957,0.443438,0.818182
AA 60-80 M,0.736842,157,0.013284,0.012923,0.666667,0.823529,0.587745,0.882353,0.555051,0.909790,0.526471,0.941146
AA 80-100 F,0.700000,80,0.026069,0.021024,0.656250,0.804545,0.534615,0.900909,0.500000,1.000000,0.449242,1.000000
AA 80-100 M,0.750000,30,0.069518,0.053498,0.571429,1.000000,0.500000,1.000000,0.333333,1.000000,0.333333,1.000000
C 20-40 F,0.687500,94,0.022186,0.015202,0.615385,0.786654,0.529412,0.842510,0.473529,0.867451,0.444231,0.885784
C 20-40 M,0.000000,67,0.031127,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C 40-60 F,0.600000,432,0.004828,0.005859,0.562500,0.660985,0.500000,0.697907,0.477093,0.713104,0.458174,0.747987
C 40-60 M,0.729167,482,0.004327,0.005033,0.681364,0.780652,0.644444,0.816327,0.632995,0.843663,0.591292,0.861650
C 60-80 F,0.700855,945,0.002207,0.002084,0.666667,0.741749,0.648222,0.756741,0.633865,0.767003,0.610247,0.774035
C 60-80 M,0.563636,957,0.002179,0.002373,0.519514,0.590267,0.495760,0.619407,0.470958,0.629661,0.465109,0.640337
C 80-100 F,0.623188,525,0.003972,0.003220,0.602891,0.671642,0.572944,0.709960,0.545375,0.724163,0.518004,0.742878
C 80-100 M,0.621622,331,0.006301,0.006257,0.581250,0.668750,0.532941,0.715198,0.486958,0.757855,0.474309,0.773718
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.500000,19,0.109765,0.179703,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 40-60 M,0.250000,18,0.115863,0.052006,0.000000,0.400000,0.000000,0.500000,0.000000,0.565972,0.000000,0.666667
H 60-80 F,0.333333,23,0.090675,0.131483,0.000000,0.600000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 60-80 M,1.000000,21,0.099311,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 80-100 F,1.000000,6,0.347588,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 80-100 M,0.000000,0,,,,,,,,,,
O 20-40 F,1.000000,3,0.695176,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,1.000000,14,0.148966,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 M,0.000000,19,0.109765,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 60-80 F,1.000000,27,0.077242,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 60-80 M,1.000000,28,0.074483,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,0.000000,0,,,,,,,,,,
