grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.618590,58,0.014932,0.018037,0.524005,0.702273,0.471667,0.812759,0.441737,0.869074,0.387547,0.893578
AA 20-40 M,0.747253,33,0.026244,0.009870,0.694444,0.805780,0.611524,0.884849,0.573819,0.903323,0.552188,0.912005
AA 40-60 F,0.689247,201,0.004309,0.003604,0.643369,0.726100,0.604361,0.748493,0.580956,0.762037,0.559026,0.796577
AA 40-60 M,0.579651,153,0.005660,0.007564,0.512870,0.620576,0.473362,0.687203,0.436126,0.718145,0.414284,0.776293
AA 60-80 F,0.615406,244,0.003549,0.002702,0.587279,0.649899,0.556477,0.674414,0.544152,0.693198,0.528137,0.727751
AA 60-80 M,0.625253,157,0.005516,0.002964,0.584247,0.671808,0.553138,0.692763,0.542747,0.706745,0.533849,0.725864
AA 80-100 F,0.668571,80,0.010826,0.004957,0.616598,0.719764,0.584503,0.753996,0.543687,0.786186,0.526017,0.802109
AA 80-100 M,0.619048,31,0.027937,0.039659,0.488095,0.775862,0.308889,0.833333,0.239770,0.882540,0.200000,0.902621
C 20-40 F,0.775527,94,0.009213,0.004749,0.743384,0.832005,0.681847,0.864787,0.665826,0.878719,0.643073,0.889552
C 20-40 M,0.688095,67,0.012926,0.007998,0.614087,0.724884,0.562440,0.765014,0.538920,0.800675,0.481420,0.823159
C 40-60 F,0.710096,433,0.002000,0.001722,0.682564,0.742687,0.661053,0.767566,0.656510,0.781498,0.626869,0.785410
C 40-60 M,0.649778,482,0.001797,0.002030,0.621691,0.683092,0.590271,0.711469,0.573931,0.718456,0.572229,0.729273
C 60-80 F,0.576232,946,0.000915,0.001200,0.551070,0.598526,0.529531,0.621076,0.521233,0.632064,0.514545,0.643361
C 60-80 M,0.690665,957,0.000905,0.000895,0.670112,0.713480,0.648847,0.731583,0.642865,0.740549,0.633223,0.748242
C 80-100 F,0.538995,525,0.001650,0.001357,0.520161,0.568100,0.497185,0.589780,0.489666,0.603907,0.484979,0.623293
C 80-100 M,0.564283,330,0.002624,0.002868,0.538884,0.612048,0.499336,0.632528,0.479885,0.647555,0.453613,0.660538
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.812500,18,0.048114,0.011919,0.733333,0.882353,0.682353,0.939706,0.647059,0.941176,0.589412,1.000000
H 40-60 M,0.888889,19,0.045582,0.007256,0.833333,0.940257,0.777778,1.000000,0.750735,1.000000,0.722222,1.000000
H 60-80 F,0.619048,23,0.037655,0.049678,0.459957,0.818182,0.277273,0.870000,0.272727,0.909091,0.206136,0.948015
H 60-80 M,0.686275,20,0.043303,0.012739,0.607843,0.745098,0.547304,0.803137,0.455824,0.836842,0.401316,0.856553
H 80-100 F,0.000000,0,,,,,,,,,,
H 80-100 M,1.000000,3,0.288685,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 F,0.000000,0,,,,,,,,,,
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.424242,14,0.061861,0.060491,0.300000,0.601515,0.135417,0.795833,0.000000,0.836538,0.000000,0.895833
O 40-60 M,0.588235,19,0.045582,0.015601,0.503571,0.684743,0.441176,0.750000,0.384069,0.764706,0.375000,0.777451
O 60-80 F,0.336957,27,0.032076,0.063747,0.150652,0.500000,0.074758,0.678182,0.038787,0.850000,0.024286,1.000000
O 60-80 M,0.533333,28,0.030930,0.053465,0.333333,0.670000,0.239792,0.814946,0.211538,0.961538,0.192308,0.986111
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,0.000000,0,,,,,,,,,,
