grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.250000,58,0.014610,0.028485,0.111111,0.333333,0.000000,0.444444,0.000000,0.502778,0.000000,0.600000
AA 20-40 M,0.500000,33,0.025678,0.069395,0.354167,0.738636,0.193333,0.833333,0.000000,0.910000,0.000000,1.000000
AA 40-60 F,0.135135,201,0.004216,0.003573,0.090404,0.170906,0.058824,0.200000,0.035595,0.225871,0.014394,0.256250
AA 40-60 M,0.142857,153,0.005538,0.005145,0.094156,0.194231,0.052368,0.241000,0.043156,0.250658,0.017593,0.269848
AA 60-80 F,0.217391,244,0.003473,0.002237,0.186429,0.243330,0.163735,0.276532,0.132353,0.303647,0.123954,0.306565
AA 60-80 M,0.230769,157,0.005397,0.003016,0.185185,0.264151,0.150743,0.284262,0.145182,0.304755,0.129757,0.329966
AA 80-100 F,0.130435,80,0.010592,0.005338,0.068391,0.177807,0.041667,0.222222,0.000000,0.250000,0.000000,0.267095
AA 80-100 M,0.142857,31,0.027335,0.020046,0.000000,0.235577,0.000000,0.333333,0.000000,0.400000,0.000000,0.452500
C 20-40 F,0.391304,94,0.009015,0.009763,0.333333,0.453571,0.260870,0.520381,0.249500,0.550500,0.224265,0.574728
C 20-40 M,0.133333,67,0.012648,0.008764,0.061581,0.188244,0.000000,0.251667,0.000000,0.307933,0.000000,0.333333
C 40-60 F,0.257576,433,0.001957,0.002904,0.221814,0.300397,0.193776,0.327403,0.164179,0.349554,0.160222,0.361310
C 40-60 M,0.261538,482,0.001758,0.004128,0.223319,0.293770,0.181494,0.333871,0.163515,0.362514,0.146575,0.401458
C 60-80 F,0.152838,946,0.000896,0.000559,0.134066,0.166300,0.119119,0.177323,0.115026,0.187426,0.111299,0.201386
C 60-80 M,0.225962,957,0.000885,0.000744,0.205676,0.243570,0.185291,0.259624,0.182600,0.270277,0.176301,0.271002
C 80-100 F,0.139785,525,0.001614,0.001260,0.122966,0.168247,0.106582,0.191187,0.091657,0.202134,0.083838,0.215011
C 80-100 M,0.139241,330,0.002568,0.001390,0.111111,0.161864,0.090909,0.183979,0.075255,0.194933,0.064352,0.201180
H 20-40 F,0.000000,7,0.121055,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.250000,18,0.047077,0.053907,0.000000,0.354167,0.000000,0.500000,0.000000,0.666667,0.000000,0.666667
H 40-60 M,0.000000,19,0.044599,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 60-80 F,0.166667,23,0.036843,0.040549,0.000000,0.289286,0.000000,0.428571,0.000000,0.603333,0.000000,0.666667
H 60-80 M,0.000000,20,0.042369,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 F,0.000000,0,,,,,,,,,,
H 80-100 M,0.000000,0,,,,,,,,,,
O 20-40 F,0.000000,4,0.211846,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.000000,14,0.060528,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 M,0.000000,19,0.044599,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 60-80 F,0.250000,27,0.031385,0.067955,0.000000,0.500000,0.000000,0.600000,0.000000,0.666667,0.000000,0.850000
O 60-80 M,0.500000,28,0.030264,0.158952,0.000000,0.800000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 80-100 F,0.000000,9,0.094154,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.000000,0,,,,,,,,,,
