grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.115385,0.002627,58,0.182621,0.133763,0.120776,0.002223,0.002223,0.117568,0.087506,0.145506,0.065616,0.175863,0.045135,0.206539,0.041503,0.214228
AA 20-40 M,0.115385,0.004617,33,0.184977,0.147919,0.121576,0.002613,0.002613,0.124135,0.091876,0.148741,0.043798,0.180540,0.020035,0.195551,0.016606,0.214722
AA 40-60 F,0.172043,0.000758,201,0.162164,0.155890,0.171891,0.000724,0.000724,0.173058,0.155200,0.191570,0.141036,0.206486,0.137577,0.217625,0.117330,0.226203
AA 40-60 M,0.129496,0.000996,153,0.158955,0.157189,0.134110,0.001064,0.001064,0.142906,0.117566,0.158470,0.097881,0.177471,0.082243,0.188695,0.076411,0.205032
AA 60-80 F,0.257143,0.000624,244,0.240752,0.245800,0.255290,0.000631,0.000631,0.254982,0.239127,0.269408,0.225532,0.293056,0.217334,0.302325,0.213815,0.305145
AA 60-80 M,0.296296,0.000970,157,0.266529,0.296296,0.296296,0.001205,0.001205,0.297890,0.277918,0.325276,0.254943,0.345881,0.240156,0.351413,0.224044,0.360072
AA 80-100 F,0.285714,0.001904,80,0.227399,0.285714,0.285714,0.002221,0.002221,0.295446,0.258857,0.329241,0.234213,0.354301,0.221252,0.364963,0.209924,0.389424
AA 80-100 M,0.214286,0.004914,31,0.212583,0.202605,0.190410,0.004172,0.004172,0.178163,0.134786,0.241186,0.103150,0.269835,0.091363,0.288597,0.076173,0.305616
C 20-40 F,0.177215,0.001621,94,0.184388,0.215447,0.187786,0.001240,0.001240,0.190606,0.165004,0.210190,0.142156,0.234895,0.127693,0.243856,0.121043,0.257375
C 20-40 M,0.216667,0.002274,67,0.167367,0.165233,0.201077,0.001954,0.001954,0.205063,0.172984,0.227321,0.148661,0.249045,0.130074,0.258877,0.127165,0.286010
C 40-60 F,0.125964,0.000352,433,0.132778,0.140490,0.127509,0.000332,0.000332,0.127324,0.115607,0.136599,0.100778,0.145921,0.090777,0.150486,0.079720,0.155252
C 40-60 M,0.111888,0.000316,482,0.113148,0.102439,0.111833,0.000337,0.000337,0.112975,0.099031,0.123211,0.086570,0.134325,0.079265,0.140460,0.077370,0.143432
C 60-80 F,0.229586,0.000161,946,0.224651,0.229586,0.229586,0.000153,0.000153,0.231054,0.222125,0.239787,0.215336,0.245830,0.209107,0.249885,0.205322,0.250670
C 60-80 M,0.187865,0.000159,957,0.190629,0.185999,0.187498,0.000135,0.000135,0.188957,0.180309,0.197345,0.174292,0.201966,0.169793,0.207731,0.167106,0.210812
C 80-100 F,0.175824,0.000290,525,0.181805,0.169007,0.174740,0.000279,0.000279,0.178253,0.165354,0.190308,0.152620,0.194655,0.145536,0.199649,0.143679,0.203970
C 80-100 M,0.228188,0.000462,330,0.214026,0.228188,0.228188,0.000419,0.000419,0.231252,0.216923,0.243374,0.202133,0.253916,0.197488,0.261030,0.192470,0.270603
H 20-40 F,0.142857,0.021764,7,0.182191,0.169301,0.141899,0.009645,0.009645,0.115598,0.055658,0.188386,-0.004882,0.252671,-0.026302,0.301627,-0.049609,0.316457
H 20-40 M,0.000000,0.030470,5,0.114331,0.021095,-0.003808,0.006393,0.006393,-0.029059,-0.080281,0.031396,-0.134333,0.052364,-0.180003,0.072287,-0.194490,0.099504
H 40-60 F,0.187500,0.008464,18,0.115380,0.100657,0.138821,0.003373,0.003373,0.134727,0.090998,0.175370,0.052921,0.204155,0.031416,0.232593,0.017028,0.241044
H 40-60 M,0.055556,0.008018,19,0.117699,0.120279,0.097708,0.003673,0.003673,0.101174,0.058831,0.139579,0.014800,0.178744,-0.006721,0.184862,-0.042555,0.193597
H 60-80 F,0.238095,0.006624,23,0.199969,0.214867,0.226792,0.003862,0.003862,0.243503,0.201043,0.288188,0.158896,0.306115,0.116231,0.312940,0.100148,0.339881
H 60-80 M,0.117647,0.007617,20,0.188510,0.168017,0.115391,0.004319,0.004319,0.120602,0.078281,0.160510,0.051854,0.198992,0.034646,0.230591,0.032514,0.257280
H 80-100 F,0.000000,0.030470,5,0.187823,0.171963,0.089361,0.009278,0.009278,0.072083,0.004524,0.132238,-0.052604,0.183698,-0.068120,0.230399,-0.142259,0.259945
H 80-100 M,0.000000,0.050783,3,0.152586,0.127061,0.085576,0.005196,0.005196,0.090066,0.013952,0.136992,-0.023951,0.158822,-0.036920,0.176143,-0.057955,0.192819
O 20-40 F,0.500000,0.038087,4,0.220873,0.312256,0.450336,0.030946,0.030946,0.471270,0.334615,0.589973,0.235740,0.657315,0.154558,0.730077,0.106177,0.802926
