grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.375000,58,0.016725,0.038753,0.250000,0.500000,0.164286,0.600000,0.079167,0.670833,0.000000,0.806250
AA 20-40 M,0.428571,34,0.028530,0.044117,0.285714,0.522727,0.142857,0.666667,0.000000,0.750000,0.000000,0.818333
AA 40-60 F,0.243243,202,0.004802,0.005894,0.188767,0.277778,0.139470,0.343750,0.111111,0.363636,0.103851,0.390172
AA 40-60 M,0.297297,153,0.006340,0.006150,0.228571,0.327519,0.182456,0.394737,0.159031,0.414034,0.150283,0.441178
AA 60-80 F,0.200000,244,0.003976,0.002871,0.174431,0.239577,0.138793,0.263509,0.114189,0.293237,0.086957,0.309137
AA 60-80 M,0.209302,158,0.006139,0.005062,0.166667,0.261327,0.142525,0.293144,0.121590,0.312784,0.102984,0.337602
AA 80-100 F,0.428571,80,0.012125,0.018951,0.363636,0.534615,0.284416,0.604286,0.249405,0.700714,0.201010,0.733036
AA 80-100 M,0.142857,31,0.031291,0.018677,0.000000,0.250000,0.000000,0.285714,0.000000,0.400000,0.000000,0.452500
C 20-40 F,0.615385,94,0.010320,0.014546,0.543706,0.671053,0.444444,0.750000,0.400000,0.777778,0.363636,0.818182
C 20-40 M,0.357143,67,0.014478,0.016393,0.285714,0.500000,0.222222,0.538462,0.181551,0.571429,0.159936,0.577679
C 40-60 F,0.316667,432,0.002245,0.003553,0.281709,0.350219,0.238946,0.392285,0.210377,0.416667,0.204937,0.436905
C 40-60 M,0.192982,482,0.002013,0.003182,0.163273,0.234148,0.129394,0.273147,0.118594,0.302177,0.115882,0.319678
C 60-80 F,0.156250,945,0.001026,0.000648,0.140331,0.173054,0.123886,0.183989,0.108186,0.195603,0.102122,0.202301
C 60-80 M,0.217391,957,0.001014,0.000709,0.208590,0.245098,0.196181,0.260951,0.186794,0.265054,0.181033,0.279043
C 80-100 F,0.273684,525,0.001848,0.002293,0.236357,0.305284,0.204545,0.333708,0.197923,0.350811,0.191409,0.367642
C 80-100 M,0.179104,330,0.002940,0.002095,0.147475,0.213407,0.123121,0.237369,0.108939,0.243718,0.103448,0.267518
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.500000,19,0.051054,0.137128,0.250000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 40-60 M,0.250000,19,0.051054,0.059902,0.000000,0.333333,0.000000,0.500000,0.000000,0.666667,0.000000,0.710417
H 60-80 F,0.000000,23,0.042175,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 60-80 M,0.000000,21,0.046192,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 F,0.500000,6,0.161673,0.147388,0.000000,0.666667,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
H 80-100 M,0.500000,3,0.323345,0.190038,0.500000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 F,0.000000,0,,,,,,,,,,
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.000000,15,0.064669,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 M,0.250000,20,0.048502,0.062887,0.000000,0.400000,0.000000,0.500000,0.000000,0.666667,0.000000,0.887500
O 60-80 F,0.000000,27,0.035927,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 60-80 M,0.250000,28,0.034644,0.033473,0.125000,0.375000,0.000000,0.500000,0.000000,0.600000,0.000000,0.613125
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,0.500000,5,0.194007,0.189660,0.000000,0.666667,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
