grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.155172,0.002480,58,0.160015,0.158879,0.155515,0.002475,0.002475,0.148638,0.125080,0.178836,0.084863,0.218948,0.072221,0.240013,0.067015,0.248745
AA 20-40 M,0.151515,0.004360,33,0.136323,0.163048,0.156740,0.004305,0.004305,0.156713,0.115983,0.193427,0.062636,0.239971,0.045250,0.252942,0.013979,0.282199
AA 40-60 F,0.174129,0.000716,201,0.178057,0.176883,0.176024,0.000697,0.000697,0.178223,0.159388,0.195366,0.146415,0.209985,0.142513,0.221402,0.123395,0.229878
AA 40-60 M,0.183007,0.000940,153,0.190398,0.183007,0.183007,0.001062,0.001062,0.189090,0.166062,0.208389,0.148498,0.225758,0.133314,0.235408,0.124860,0.251927
AA 60-80 F,0.237705,0.000590,244,0.234682,0.239129,0.238665,0.000610,0.000610,0.238532,0.222939,0.253110,0.209689,0.275536,0.201781,0.284599,0.198321,0.289398
AA 60-80 M,0.292994,0.000916,157,0.285775,0.292994,0.292994,0.001121,0.001121,0.294542,0.275134,0.322285,0.252808,0.341073,0.238438,0.346086,0.222781,0.355678
AA 80-100 F,0.202532,0.001821,79,0.203616,0.196064,0.198822,0.002081,0.002081,0.204926,0.174133,0.235280,0.147401,0.262953,0.136371,0.273191,0.124707,0.299389
AA 80-100 M,0.225806,0.004641,31,0.192065,0.194014,0.209212,0.005550,0.005550,0.202113,0.158168,0.270796,0.101123,0.310428,0.083967,0.321751,0.072656,0.328925
C 20-40 F,0.095745,0.001531,94,0.099013,0.083038,0.090815,0.001235,0.001235,0.092686,0.066112,0.116446,0.047364,0.138727,0.035738,0.144961,0.027155,0.163210
C 20-40 M,0.060606,0.002180,66,0.073817,0.061885,0.060262,0.002256,0.002256,0.067707,0.028769,0.095605,0.000965,0.112306,-0.014079,0.128796,-0.024455,0.143421
C 40-60 F,0.157044,0.000332,433,0.159653,0.157044,0.157044,0.000317,0.000317,0.157626,0.146429,0.166874,0.132671,0.174676,0.121732,0.181030,0.111971,0.184281
C 40-60 M,0.139004,0.000298,482,0.141268,0.141307,0.140013,0.000328,0.000328,0.141122,0.127691,0.150970,0.114877,0.161870,0.108125,0.167831,0.105509,0.170720
C 60-80 F,0.235729,0.000152,946,0.234532,0.235729,0.235729,0.000146,0.000146,0.237261,0.228480,0.245997,0.221882,0.251534,0.215828,0.255460,0.212151,0.256375
C 60-80 M,0.214211,0.000150,957,0.215391,0.214211,0.214211,0.000129,0.000129,0.215205,0.206774,0.223807,0.201400,0.228270,0.197006,0.233268,0.193584,0.236811
C 80-100 F,0.188571,0.000274,525,0.186415,0.188571,0.188571,0.000264,0.000264,0.192277,0.179246,0.203172,0.167117,0.207257,0.160167,0.212739,0.158379,0.217045
C 80-100 M,0.209091,0.000436,330,0.205660,0.209091,0.209091,0.000394,0.000394,0.211881,0.198144,0.224015,0.183772,0.234569,0.179258,0.241160,0.174381,0.249300
