grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.810345,58,0.003014,0.002680,0.775862,0.844828,0.741379,0.879310,0.723276,0.880172,0.697845,0.896552
AA 20-40 M,0.764706,34,0.005141,0.004852,0.735294,0.823529,0.676471,0.852941,0.647059,0.882353,0.617647,0.882353
AA 40-60 F,0.777228,202,0.000865,0.000737,0.757426,0.797030,0.747525,0.806931,0.732673,0.817079,0.725124,0.826733
AA 40-60 M,0.777778,153,0.001142,0.000885,0.758170,0.797386,0.738562,0.816993,0.718954,0.823529,0.718954,0.830065
AA 60-80 F,0.733607,244,0.000716,0.001066,0.713115,0.755123,0.688115,0.775000,0.676025,0.782787,0.668033,0.786885
AA 60-80 M,0.727848,158,0.001106,0.001407,0.707278,0.759494,0.682278,0.772785,0.670570,0.784810,0.661234,0.800791
AA 80-100 F,0.787500,80,0.002185,0.001539,0.762500,0.825000,0.748750,0.850000,0.725000,0.862500,0.718438,0.862500
AA 80-100 M,0.741935,31,0.005639,0.005975,0.677419,0.782258,0.612903,0.806452,0.580645,0.840323,0.580645,0.870968
C 20-40 F,0.861702,94,0.001860,0.001160,0.829787,0.882979,0.818085,0.893617,0.797872,0.904787,0.792287,0.914894
C 20-40 M,0.776119,67,0.002609,0.002329,0.761194,0.820896,0.729851,0.850746,0.686567,0.865672,0.686567,0.880597
C 40-60 F,0.826389,432,0.000405,0.000351,0.819444,0.842593,0.800926,0.856713,0.796296,0.861111,0.793866,0.863542
C 40-60 M,0.823651,482,0.000363,0.000304,0.815353,0.838174,0.802905,0.848755,0.798755,0.854772,0.794502,0.860114
C 60-80 F,0.739683,945,0.000185,0.000209,0.728042,0.746032,0.718413,0.754709,0.714233,0.765185,0.709497,0.767196
C 60-80 M,0.773250,957,0.000183,0.000182,0.765935,0.786050,0.760606,0.793208,0.757524,0.798433,0.755434,0.806243
C 80-100 F,0.792381,525,0.000333,0.000304,0.780952,0.805714,0.769333,0.815429,0.761905,0.821048,0.760000,0.825762
C 80-100 M,0.742424,330,0.000530,0.000581,0.730303,0.760606,0.712121,0.773030,0.705909,0.781970,0.695379,0.792652
H 20-40 F,1.000000,7,0.024971,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 20-40 M,1.000000,5,0.034959,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 40-60 F,0.736842,19,0.009200,0.012050,0.684211,0.789474,0.578947,0.894737,0.576316,0.894737,0.526316,0.947368
H 40-60 M,0.842105,19,0.009200,0.008584,0.789474,0.894737,0.684211,0.900000,0.681579,0.947368,0.603947,0.947368
H 60-80 F,0.739130,23,0.007600,0.007757,0.695652,0.782609,0.647826,0.826087,0.606522,0.869565,0.542391,0.892391
H 60-80 M,0.571429,21,0.008324,0.015651,0.511905,0.666667,0.428571,0.714286,0.380952,0.761905,0.333333,0.809524
H 80-100 F,0.833333,6,0.029133,0.027798,0.666667,1.000000,0.666667,1.000000,0.500000,1.000000,0.500000,1.000000
H 80-100 M,0.666667,3,0.058265,0.089747,0.666667,1.000000,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000
O 20-40 F,0.666667,3,0.058265,0.110168,0.666667,1.000000,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000
O 20-40 M,1.000000,2,0.087398,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 F,0.933333,15,0.011653,0.003927,0.866667,1.000000,0.866667,1.000000,0.800000,1.000000,0.800000,1.000000
O 40-60 M,0.800000,20,0.008740,0.006542,0.750000,0.850000,0.700000,0.900000,0.650000,0.900000,0.623750,0.950000
O 60-80 F,0.777778,27,0.006474,0.006062,0.740741,0.851852,0.700000,0.888889,0.666667,0.888889,0.629630,0.925926
O 60-80 M,0.678571,28,0.006243,0.009722,0.607143,0.750000,0.571429,0.785714,0.535714,0.857143,0.535714,0.857143
O 80-100 F,1.000000,10,0.017480,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 80-100 M,0.800000,5,0.034959,0.045551,0.600000,1.000000,0.600000,1.000000,0.400000,1.000000,0.400000,1.000000
