grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.834734,0.013936,58,0.742009,0.870310,0.835411,0.010123,0.010123,0.822406,0.772840,0.894388,0.700604,0.954560,0.659124,1.003262,0.649235,1.020682
AA 20-40 M,0.732759,0.024494,33,0.663043,0.721262,0.754478,0.014458,0.014458,0.760821,0.694868,0.814843,0.576477,0.903816,0.539550,0.943855,0.492707,0.985222
AA 40-60 F,0.661252,0.004021,201,0.676542,0.728766,0.669660,0.003462,0.003462,0.671027,0.633805,0.712861,0.605111,0.749670,0.592654,0.768441,0.551084,0.786483
AA 40-60 M,0.815891,0.005283,153,0.674122,0.724198,0.809654,0.005132,0.005132,0.828260,0.771693,0.865879,0.733035,0.902944,0.690022,0.930560,0.678898,0.953378
AA 60-80 F,0.658666,0.003313,244,0.650150,0.644381,0.649698,0.003123,0.003123,0.646805,0.614827,0.682831,0.585798,0.732996,0.570221,0.756001,0.558138,0.767094
AA 60-80 M,0.543796,0.005148,157,0.641805,0.628630,0.550351,0.005347,0.005347,0.554283,0.514691,0.607808,0.464820,0.653613,0.429096,0.670180,0.401568,0.688418
AA 80-100 F,0.722222,0.010232,79,0.654039,0.686293,0.718988,0.008859,0.008859,0.727833,0.673137,0.801925,0.613461,0.855668,0.588814,0.868642,0.574243,0.925975
AA 80-100 M,0.654762,0.026074,31,0.596862,0.578372,0.674570,0.019193,0.019193,0.658319,0.567989,0.789413,0.511014,0.862692,0.467635,0.888938,0.448157,0.916378
C 20-40 F,0.822563,0.008599,94,0.688100,0.786322,0.815901,0.005203,0.005203,0.817456,0.771259,0.859698,0.716104,0.918468,0.697236,0.930315,0.686972,0.950506
C 20-40 M,0.769397,0.012247,66,0.717179,0.841207,0.783035,0.010362,0.010362,0.793327,0.722826,0.865485,0.655291,0.898762,0.629000,0.940330,0.614973,0.957453
C 40-60 F,0.705639,0.001867,433,0.650063,0.696551,0.706816,0.001780,0.001780,0.707476,0.680208,0.728906,0.646194,0.749906,0.623116,0.763055,0.599440,0.771546
C 40-60 M,0.546377,0.001677,482,0.601924,0.546377,0.546377,0.001891,0.001891,0.549008,0.514572,0.572284,0.484865,0.598186,0.466669,0.612316,0.463848,0.619163
C 60-80 F,0.610074,0.000854,946,0.624922,0.614528,0.608481,0.000809,0.000809,0.613197,0.591616,0.632772,0.576352,0.645942,0.562516,0.656622,0.553643,0.657218
C 60-80 M,0.636743,0.000845,957,0.623969,0.612728,0.635379,0.000719,0.000719,0.638986,0.618375,0.657213,0.605135,0.669562,0.594504,0.681011,0.587187,0.688711
C 80-100 F,0.596852,0.001540,525,0.618809,0.637560,0.600715,0.001457,0.001457,0.610158,0.577919,0.636140,0.551124,0.645740,0.533170,0.657617,0.530184,0.667190
C 80-100 M,0.519773,0.002449,330,0.600724,0.519773,0.519773,0.002234,0.002234,0.525928,0.492807,0.555854,0.462779,0.580450,0.446955,0.594327,0.436904,0.615082
H 20-40 F,1.000000,0.115472,7,0.582390,0.569030,0.852877,0.066054,0.066054,0.812713,0.620899,0.993726,0.472747,1.106824,0.399700,1.218650,0.337827,1.320687
H 20-40 M,,,0,0.728123,0.844101,0.894985,,,,,,,,,,,
H 40-60 F,0.770833,0.042542,19,0.675895,0.727545,0.787167,0.017293,0.017293,0.782307,0.689292,0.868079,0.626216,0.940990,0.566181,1.006540,0.536569,1.047970
H 40-60 M,0.843750,0.044906,18,0.687983,0.750362,0.861061,0.019680,0.019680,0.886102,0.778463,0.947364,0.658731,1.036846,0.599377,1.071008,0.530964,1.097804
H 60-80 F,0.775000,0.036741,22,0.652951,0.649667,0.703540,0.015345,0.015345,0.728703,0.624691,0.826400,0.571847,0.861480,0.512823,0.879635,0.466856,0.938679
H 60-80 M,0.558824,0.038491,21,0.627035,0.600751,0.599157,0.013976,0.013976,0.611540,0.543195,0.708186,0.486884,0.783537,0.451615,0.809293,0.381533,0.822522
H 80-100 F,,,0,0.601481,0.587089,0.696636,,,,,,,,,,,
H 80-100 M,0.750000,0.202077,4,0.686492,0.747547,0.834769,0.029579,0.029579,0.864805,0.714708,0.970788,0.612948,1.068905,0.573608,1.102618,0.549793,1.126330
O 20-40 F,,,0,0.687855,0.768094,0.791683,,,,,,,,,,,
O 20-40 M,,,0,0.647586,0.692088,0.830835,,,,,,,,,,,
O 40-60 F,,,0,0.692244,0.758405,0.777637,,,,,,,,,,,
O 40-60 M,1.000000,0.042542,19,0.684372,0.743546,0.887453,0.018397,0.018397,0.898954,0.803393,0.983758,0.725748,1.067568,0.693740,1.151388,0.657777,1.198127
O 60-80 F,0.220000,0.029937,27,0.620501,0.588418,0.379571,0.014937,0.014937,0.361665,0.304850,0.425481,0.207517,0.527238,0.171062,0.560365,0.149469,0.637969
O 60-80 M,0.538462,0.028868,28,0.610416,0.569383,0.552296,0.014308,0.014308,0.569759,0.486911,0.649177,0.413666,0.703921,0.356581,0.754484,0.336428,0.790258
O 80-100 F,0.875000,0.089812,9,0.619378,0.620870,0.734025,0.022218,0.022218,0.753702,0.664375,0.821615,0.575835,0.914939,0.468109,0.970450,0.384775,1.007714
O 80-100 M,1.000000,0.161661,5,0.597901,0.580333,0.762823,0.029681,0.029681,0.777321,0.654720,0.878923,0.548075,0.978106,0.513693,1.070528,0.458431,1.116677
