grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.827586,0.002979,58,0.819020,0.827586,0.827586,0.002924,0.002924,0.821837,0.792117,0.859845,0.752849,0.896892,0.738441,0.920051,0.731678,0.930387
AA 20-40 M,0.787879,0.005236,33,0.802598,0.796933,0.794050,0.005130,0.005130,0.798871,0.749131,0.838424,0.690823,0.878564,0.671864,0.904923,0.637593,0.931544
AA 40-60 F,0.791045,0.000860,201,0.788572,0.791045,0.791045,0.000829,0.000829,0.793494,0.772858,0.811786,0.758567,0.826962,0.754318,0.840775,0.732616,0.850065
AA 40-60 M,0.810458,0.001129,153,0.807206,0.810458,0.810458,0.001269,0.001269,0.818715,0.790999,0.838379,0.771951,0.857356,0.755145,0.869003,0.747206,0.885989
AA 60-80 F,0.700820,0.000708,244,0.702326,0.700965,0.700891,0.000729,0.000729,0.700660,0.683885,0.716672,0.669160,0.741041,0.660475,0.751804,0.656525,0.756732
AA 60-80 M,0.681529,0.001101,157,0.684694,0.681529,0.681529,0.001351,0.001351,0.683575,0.661419,0.712173,0.637470,0.734205,0.621388,0.740039,0.604786,0.751003
AA 80-100 F,0.662500,0.002160,80,0.668731,0.662500,0.662500,0.002462,0.002462,0.668403,0.633897,0.704050,0.607651,0.732342,0.593848,0.743158,0.580624,0.772024
AA 80-100 M,0.741935,0.005574,31,0.746464,0.731157,0.734803,0.006766,0.006766,0.725576,0.677172,0.807836,0.615877,0.845614,0.597542,0.858133,0.584699,0.866000
C 20-40 F,0.787234,0.001838,94,0.781939,0.787234,0.787234,0.001472,0.001472,0.789057,0.761905,0.814579,0.743128,0.839737,0.723643,0.846580,0.716154,0.867717
C 20-40 M,0.731343,0.002579,67,0.738785,0.731343,0.731343,0.002707,0.002707,0.738592,0.694970,0.768561,0.667905,0.787953,0.648357,0.805889,0.640747,0.821797
C 40-60 F,0.824480,0.000399,433,0.823332,0.824480,0.824480,0.000381,0.000381,0.824875,0.812178,0.834777,0.796967,0.843843,0.785781,0.850779,0.774834,0.853729
C 40-60 M,0.825726,0.000358,482,0.825720,0.825726,0.825726,0.000392,0.000392,0.826989,0.812433,0.837704,0.798264,0.849555,0.789982,0.856388,0.787912,0.859379
C 60-80 F,0.725159,0.000183,946,0.725684,0.725159,0.725159,0.000175,0.000175,0.727143,0.717128,0.736447,0.710128,0.742479,0.703246,0.746782,0.699318,0.747827
C 60-80 M,0.776385,0.000181,957,0.775865,0.776385,0.776385,0.000154,0.000154,0.777364,0.768222,0.786871,0.762424,0.791795,0.757606,0.797354,0.753779,0.801214
C 80-100 F,0.739048,0.000329,525,0.739996,0.739048,0.739048,0.000319,0.000319,0.742450,0.729062,0.755485,0.715488,0.760257,0.707884,0.765167,0.706202,0.770178
C 80-100 M,0.730303,0.000524,330,0.731812,0.730303,0.730303,0.000475,0.000475,0.733623,0.718288,0.746985,0.702517,0.758357,0.697488,0.764774,0.692263,0.774370
H 20-40 F,0.857143,0.024685,7,0.838906,0.875722,0.868393,0.026678,0.026678,0.870912,0.726940,0.954030,0.630128,1.050841,0.594467,1.071569,0.564028,1.150509
H 20-40 M,1.000000,0.034559,5,0.912723,0.966401,0.979645,0.027633,0.027633,0.969037,0.809448,1.048446,0.705477,1.140836,0.679773,1.174888,0.621300,1.234433
H 40-60 F,0.777778,0.009600,18,0.805428,0.777778,0.777778,0.009135,0.009135,0.774852,0.709016,0.841263,0.632245,0.901418,0.619895,0.926639,0.601314,0.951668
H 40-60 M,0.894737,0.009095,19,0.868517,0.894737,0.894737,0.008979,0.008979,0.893086,0.829158,0.943650,0.778527,1.026582,0.719289,1.042029,0.694565,1.062678
H 60-80 F,0.739130,0.007513,23,0.726541,0.726252,0.730518,0.007167,0.007167,0.750354,0.686392,0.816040,0.635729,0.834498,0.596059,0.851101,0.562702,0.890631
H 60-80 M,0.750000,0.008640,20,0.774871,0.750000,0.750000,0.008458,0.008458,0.760090,0.714624,0.831860,0.651602,0.880871,0.634267,0.913710,0.600713,0.940317
H 80-100 F,1.000000,0.034559,5,0.900227,1.000000,1.000000,0.038530,0.038530,0.973919,0.872414,1.109705,0.722378,1.236128,0.606228,1.284265,0.546208,1.298821
H 80-100 M,0.666667,0.057599,3,0.786136,0.778048,0.740372,0.052173,0.052173,0.718812,0.578477,0.854414,0.431486,1.013543,0.352991,1.079288,0.227165,1.120513
O 20-40 F,0.500000,0.043199,4,0.582105,0.493760,0.496498,0.046147,0.046147,0.486789,0.364193,0.611194,0.253996,0.759752,0.122535,0.834889,0.057763,0.943224
O 20-40 M,1.000000,0.086398,2,0.873656,0.882053,0.916700,0.070064,0.070064,0.911252,0.807045,1.094223,0.582810,1.276564,0.484808,1.370005,0.425380,1.481153
O 40-60 F,0.714286,0.012343,14,0.749962,0.714286,0.714286,0.010345,0.010345,0.721057,0.652611,0.783076,0.542865,0.824381,0.511650,0.849097,0.488946,0.865509
O 40-60 M,0.736842,0.009095,19,0.763085,0.736842,0.736842,0.010178,0.010178,0.731986,0.671908,0.791073,0.610526,0.851798,0.585628,0.918861,0.567628,0.951631
O 60-80 F,0.777778,0.006400,27,0.774987,0.787439,0.784467,0.006668,0.006668,0.773314,0.727298,0.820218,0.673062,0.889792,0.652797,0.906755,0.614159,0.953237
O 60-80 M,0.892857,0.006171,28,0.875039,0.892857,0.892857,0.006458,0.006458,0.911816,0.843503,0.958816,0.803013,1.002993,0.778877,1.032584,0.749811,1.052771
O 80-100 F,0.888889,0.019200,9,0.833599,0.888889,0.888889,0.018903,0.018903,0.904195,0.825180,0.989116,0.691735,1.067751,0.641992,1.086657,0.587433,1.111748
O 80-100 M,1.000000,0.034559,5,0.900254,1.000000,1.000000,0.047032,0.047032,1.010353,0.870688,1.160085,0.732571,1.277681,0.655283,1.355289,0.637819,1.462601
