grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.117647,58,0.002645,0.002091,0.081224,0.150943,0.073939,0.176471,0.058824,0.203723,0.048404,0.219349
AA 20-40 M,0.137931,33,0.004648,0.004639,0.099194,0.173953,0.064315,0.214732,0.036971,0.230897,0.033315,0.284119
AA 40-60 F,0.152542,201,0.000763,0.000662,0.136296,0.171199,0.119649,0.192395,0.106116,0.197678,0.103448,0.200603
AA 40-60 M,0.116279,153,0.001002,0.000801,0.100775,0.135025,0.085206,0.152185,0.077490,0.156837,0.068272,0.185489
AA 60-80 F,0.226244,244,0.000629,0.000806,0.206278,0.243518,0.187548,0.256146,0.178452,0.269424,0.166263,0.272955
AA 60-80 M,0.277372,157,0.000977,0.001704,0.256448,0.299453,0.231231,0.338359,0.208420,0.350861,0.195479,0.365718
AA 80-100 F,0.194444,79,0.001942,0.001821,0.166667,0.219178,0.136924,0.244946,0.124914,0.267658,0.105316,0.272214
AA 80-100 M,0.250000,31,0.004948,0.005891,0.210714,0.308355,0.148148,0.347253,0.137931,0.366852,0.115385,0.400496
C 20-40 F,0.072289,94,0.001632,0.000933,0.047619,0.087500,0.036102,0.108954,0.024390,0.122104,0.023810,0.132943
C 20-40 M,0.034483,66,0.002324,0.000496,0.016667,0.036220,0.000000,0.065683,0.000000,0.071889,0.000000,0.082684
C 40-60 F,0.138107,433,0.000354,0.000348,0.125553,0.150510,0.115385,0.162383,0.111936,0.173146,0.101476,0.178991
C 40-60 M,0.127907,482,0.000318,0.000251,0.121194,0.139915,0.111196,0.149753,0.102292,0.154850,0.098528,0.159180
C 60-80 F,0.220238,946,0.000162,0.000205,0.210572,0.227367,0.200216,0.239425,0.196833,0.242410,0.194944,0.248380
C 60-80 M,0.187943,957,0.000160,0.000128,0.180240,0.195070,0.173999,0.200983,0.168797,0.204043,0.163319,0.208483
C 80-100 F,0.172489,525,0.000292,0.000310,0.159741,0.184758,0.151778,0.195774,0.146069,0.200928,0.137936,0.205065
C 80-100 M,0.212838,330,0.000465,0.000468,0.199321,0.228038,0.191484,0.244076,0.177455,0.245967,0.171479,0.254075
H 20-40 F,0.000000,7,0.021912,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 20-40 M,0.000000,5,0.030676,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.062500,19,0.008073,0.003855,0.000000,0.071429,0.000000,0.143956,0.000000,0.167708,0.000000,0.200000
H 40-60 M,0.250000,18,0.008521,0.014825,0.187500,0.352941,0.117647,0.437500,0.066458,0.466667,0.060570,0.484167
H 60-80 F,0.200000,22,0.006972,0.009718,0.111111,0.250000,0.050000,0.333333,0.047619,0.350000,0.045455,0.375000
H 60-80 M,0.117647,21,0.007304,0.006656,0.058824,0.169118,0.045000,0.211696,0.000000,0.266667,0.000000,0.325000
H 80-100 F,0.000000,6,0.025564,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 M,0.000000,4,0.038345,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 F,0.250000,4,0.038345,0.049663,0.250000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.631250
O 20-40 M,0.000000,2,0.076691,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.142857,14,0.010956,0.008050,0.071429,0.142857,0.000000,0.214286,0.000000,0.285714,0.000000,0.285714
O 40-60 M,0.222222,19,0.008073,0.011596,0.157895,0.294118,0.075481,0.352941,0.055556,0.368750,0.055556,0.418056
O 60-80 F,0.160000,27,0.005681,0.006234,0.115385,0.200000,0.076923,0.269231,0.074074,0.333333,0.041667,0.340064
O 60-80 M,0.192308,28,0.005478,0.006616,0.120000,0.242500,0.086594,0.297101,0.076781,0.320000,0.056185,0.340064
O 80-100 F,0.000000,9,0.017042,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.000000,5,0.030676,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
