grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.810345,0.003014,58,0.785714,0.785714,0.813206,0.001982,0.001982,0.808217,0.783643,0.837535,0.754805,0.869098,0.741271,0.889422,0.732154,0.898740
AA 20-40 M,0.764706,0.005141,34,0.785714,0.785714,0.775510,0.002719,0.002719,0.774501,0.744346,0.806415,0.701603,0.839562,0.683789,0.859629,0.663867,0.869416
AA 40-60 F,0.777228,0.000865,202,0.793666,0.812221,0.779711,0.000721,0.000721,0.781400,0.762861,0.800612,0.749126,0.815440,0.745924,0.826148,0.724159,0.832695
AA 40-60 M,0.777778,0.001142,153,0.793666,0.812221,0.777709,0.001083,0.001083,0.786621,0.759693,0.804319,0.741984,0.819514,0.728613,0.834776,0.717314,0.844795
AA 60-80 F,0.733607,0.000716,244,0.760258,0.749896,0.733002,0.000657,0.000657,0.732485,0.716582,0.748786,0.703426,0.771029,0.694429,0.781239,0.691512,0.786601
AA 60-80 M,0.727848,0.001106,158,0.760258,0.749896,0.723765,0.001139,0.001139,0.726037,0.706885,0.750640,0.687204,0.771021,0.667414,0.777379,0.653917,0.788503
AA 80-100 F,0.787500,0.002185,80,0.785714,0.785714,0.787576,0.001869,0.001869,0.791866,0.763387,0.821989,0.735826,0.847571,0.724610,0.857135,0.715791,0.881666
AA 80-100 M,0.741935,0.005639,31,0.785714,0.785714,0.745459,0.003492,0.003492,0.737636,0.701034,0.794071,0.667821,0.829108,0.652865,0.836602,0.643718,0.843191
C 20-40 F,0.861702,0.001860,94,0.785714,0.785714,0.857229,0.001149,0.001149,0.857858,0.833339,0.880425,0.814356,0.905165,0.800991,0.907846,0.795658,0.923620
C 20-40 M,0.776119,0.002609,67,0.785714,0.785714,0.787248,0.001945,0.001945,0.790207,0.758814,0.816032,0.731794,0.837601,0.719985,0.850339,0.706637,0.863459
C 40-60 F,0.826389,0.000405,432,0.793666,0.812221,0.826613,0.000372,0.000372,0.826538,0.815208,0.836803,0.799632,0.846338,0.788589,0.852047,0.776759,0.856002
C 40-60 M,0.823651,0.000363,482,0.793666,0.812221,0.822972,0.000377,0.000377,0.823342,0.809669,0.834912,0.796679,0.846716,0.787826,0.852947,0.786083,0.856168
C 60-80 F,0.739683,0.000185,945,0.760258,0.749896,0.739740,0.000174,0.000174,0.741372,0.732015,0.750897,0.724500,0.757005,0.718289,0.761917,0.714287,0.762710
C 60-80 M,0.773250,0.000183,957,0.760258,0.749896,0.771966,0.000154,0.000154,0.773257,0.764368,0.782110,0.757837,0.787112,0.753037,0.793223,0.750009,0.796587
C 80-100 F,0.792381,0.000333,525,0.785714,0.785714,0.792830,0.000305,0.000305,0.796357,0.782910,0.808309,0.769154,0.813615,0.762285,0.819275,0.760487,0.823463
C 80-100 M,0.742424,0.000530,330,0.785714,0.785714,0.744436,0.000437,0.000437,0.747010,0.733637,0.760210,0.719294,0.771048,0.713407,0.778093,0.707785,0.787876
H 20-40 F,1.000000,0.024971,7,0.785714,0.785714,0.903118,0.005927,0.005927,0.889463,0.832456,0.945716,0.791214,0.986408,0.770261,1.021164,0.756711,1.039798
H 20-40 M,1.000000,0.034959,5,0.785714,0.785714,0.884059,0.004975,0.004975,0.869099,0.835035,0.918781,0.774712,0.948380,0.745238,0.968594,0.736442,1.010252
H 40-60 F,0.736842,0.009200,19,0.793666,0.812221,0.770806,0.003704,0.003704,0.766090,0.724947,0.815022,0.693035,0.846956,0.667138,0.870529,0.657118,0.885907
H 40-60 M,0.842105,0.009200,19,0.793666,0.812221,0.816447,0.003424,0.003424,0.816862,0.766432,0.849445,0.731123,0.895939,0.704393,0.902244,0.683373,0.907064
H 60-80 F,0.739130,0.007600,23,0.760258,0.749896,0.744101,0.003090,0.003090,0.757263,0.713530,0.793908,0.683265,0.817265,0.648802,0.825529,0.632012,0.848539
H 60-80 M,0.571429,0.008324,21,0.760258,0.749896,0.630289,0.002989,0.002989,0.638804,0.605068,0.676853,0.576221,0.716274,0.559420,0.729820,0.547364,0.740913
H 80-100 F,0.833333,0.029133,6,0.785714,0.785714,0.825009,0.004882,0.004882,0.815125,0.775816,0.864309,0.728879,0.910331,0.703693,0.928201,0.674814,0.956504
H 80-100 M,0.666667,0.058265,3,0.785714,0.785714,0.693687,0.005861,0.005861,0.686092,0.636329,0.754727,0.599769,0.793004,0.584940,0.814867,0.562137,0.830408
O 20-40 F,0.666667,0.058265,3,0.785714,0.785714,0.854327,0.005509,0.005509,0.842874,0.796290,0.898112,0.767304,0.934419,0.742109,0.988757,0.712939,1.001718
O 20-40 M,1.000000,0.087398,2,0.785714,0.785714,0.925656,0.006118,0.006118,0.918585,0.861896,0.985975,0.824685,1.011910,0.790922,1.045618,0.771799,1.062113
O 40-60 F,0.933333,0.011653,15,0.793666,0.812221,0.899214,0.003932,0.003932,0.896261,0.859546,0.935470,0.807711,0.965713,0.774323,0.986518,0.760575,0.994483
O 40-60 M,0.800000,0.008740,20,0.793666,0.812221,0.804686,0.004700,0.004700,0.800552,0.755814,0.842851,0.720349,0.885840,0.698110,0.945791,0.681111,0.953596
O 60-80 F,0.777778,0.006474,27,0.760258,0.749896,0.782208,0.003320,0.003320,0.776690,0.747144,0.807141,0.711452,0.850180,0.687325,0.871155,0.675856,0.911807
O 60-80 M,0.678571,0.006243,28,0.760258,0.749896,0.696303,0.003091,0.003091,0.704390,0.660367,0.740660,0.634615,0.775676,0.614276,0.792774,0.604626,0.806060
O 80-100 F,1.000000,0.017480,10,0.785714,0.785714,0.900382,0.004445,0.004445,0.903410,0.866188,0.941174,0.815735,0.981638,0.766976,0.999997,0.740571,1.005895
O 80-100 M,0.800000,0.034959,5,0.785714,0.785714,0.787111,0.006620,0.006620,0.788777,0.732038,0.850290,0.691215,0.904956,0.671842,0.926479,0.652813,0.963495
